Layers,Units,Activation,Optimizer,Learning Rate,Accuracy,Val Accuracy
1,128,relu,sgd,0.0001,0.8112965226173401,0.7846153974533081
1,128,relu,sgd,0.001,0.8151476383209229,0.7692307829856873
1,128,relu,sgd,0.01,0.7471116781234741,0.764102578163147
1,128,relu,sgd,0.1,0.5840821862220764,0.5743589997291565
1,128,relu,sgd,1.0,0.5840821862220764,0.5743589997291565
1,128,relu,rmsprop,0.0001,0.8267009258270264,0.7846153974533081
1,128,relu,rmsprop,0.001,0.7869063019752502,0.7794871926307678
1,128,relu,rmsprop,0.01,0.7830551862716675,0.7743589878082275
1,128,relu,rmsprop,0.1,0.5840821862220764,0.5794872045516968
1,128,relu,rmsprop,1.0,0.5584082007408142,0.5743589997291565
1,128,relu,adam,0.0001,0.8100128173828125,0.7538461685180664
1,128,relu,adam,0.001,0.8189986944198608,0.7846153974533081
1,128,relu,adam,0.01,0.8100128173828125,0.8051282167434692
1,128,relu,adam,0.1,0.5840821862220764,0.5794872045516968
1,128,relu,adam,1.0,0.5840821862220764,0.5743589997291565
1,128,relu,adadelta,0.0001,0.0089858788996934,0.0102564105764031
1,128,relu,adadelta,0.001,0.4415917694568634,0.4256410300731659
1,128,relu,adadelta,0.01,0.7381258010864258,0.7692307829856873
1,128,relu,adadelta,0.1,0.8023106455802917,0.7692307829856873
1,128,relu,adadelta,1.0,0.7907573580741882,0.7794871926307678
1,128,relu,adamax,0.0001,0.7432605624198914,0.7487179636955261
1,128,relu,adamax,0.001,0.8164313435554504,0.7846153974533081
1,128,relu,adamax,0.01,0.8267009258270264,0.8051282167434692
1,128,relu,adamax,0.1,0.7740693092346191,0.7743589878082275
1,128,relu,adamax,1.0,0.5840821862220764,0.5743589997291565
1,128,relu,adagrad,0.0001,0.4569961428642273,0.4512820541858673
1,128,relu,adagrad,0.001,0.7612323760986328,0.764102578163147
1,128,relu,adagrad,0.01,0.8241335153579712,0.7897436022758484
1,128,relu,adagrad,0.1,0.8267009258270264,0.7948718070983887
1,128,relu,adagrad,1.0,0.5840821862220764,0.5743589997291565
1,128,relu,nadam,0.0001,0.7869063019752502,0.7897436022758484
1,128,relu,nadam,0.001,0.8305519819259644,0.8051282167434692
1,128,relu,nadam,0.01,0.8164313435554504,0.8102564215660095
1,128,relu,nadam,0.1,0.7689345479011536,0.7692307829856873
1,128,relu,nadam,1.0,0.5853658318519592,0.5743589997291565
1,128,relu,ftrl,0.0001,0.5006418228149414,0.5025641322135925
1,128,relu,ftrl,0.001,0.7612323760986328,0.7435897588729858
1,128,relu,ftrl,0.01,0.8125802278518677,0.7846153974533081
1,128,relu,ftrl,0.1,0.8138639330863953,0.7794871926307678
1,128,relu,ftrl,1.0,0.5840821862220764,0.5743589997291565
1,128,sigmoid,sgd,0.0001,0.6854942440986633,0.728205144405365
1,128,sigmoid,sgd,0.001,0.7086007595062256,0.7435897588729858
1,128,sigmoid,sgd,0.01,0.8048780560493469,0.7692307829856873
1,128,sigmoid,sgd,0.1,0.6482670307159424,0.728205144405365
1,128,sigmoid,sgd,1.0,0.5006418228149414,0.5743589997291565
1,128,sigmoid,rmsprop,0.0001,0.7663671374320984,0.7743589878082275
1,128,sigmoid,rmsprop,0.001,0.817715048789978,0.800000011920929
1,128,sigmoid,rmsprop,0.01,0.7689345479011536,0.7794871926307678
1,128,sigmoid,rmsprop,0.1,0.5083440542221069,0.5743589997291565
1,128,sigmoid,rmsprop,1.0,0.4865211844444275,0.5743589997291565
1,128,sigmoid,adam,0.0001,0.7933247685432434,0.7743589878082275
1,128,sigmoid,adam,0.001,0.8318356871604919,0.800000011920929
1,128,sigmoid,adam,0.01,0.8087291121482849,0.7948718070983887
1,128,sigmoid,adam,0.1,0.5738126039505005,0.5743589997291565
1,128,sigmoid,adam,1.0,0.4955070614814758,0.5743589997291565
1,128,sigmoid,adadelta,0.0001,0.4159178435802459,0.4564102590084076
1,128,sigmoid,adadelta,0.001,0.5648267269134521,0.5230769515037537
1,128,sigmoid,adadelta,0.01,0.70346599817276,0.7230769395828247
1,128,sigmoid,adadelta,0.1,0.7881900072097778,0.7743589878082275
1,128,sigmoid,adadelta,1.0,0.8228498101234436,0.7846153974533081
1,128,sigmoid,adamax,0.0001,0.6957638263702393,0.728205144405365
1,128,sigmoid,adamax,0.001,0.8100128173828125,0.7846153974533081
1,128,sigmoid,adamax,0.01,0.8305519819259644,0.800000011920929
1,128,sigmoid,adamax,0.1,0.6469833254814148,0.7384615540504456
1,128,sigmoid,adamax,1.0,0.5096276998519897,0.5743589997291565
1,128,sigmoid,adagrad,0.0001,0.5969191193580627,0.5794872045516968
1,128,sigmoid,adagrad,0.001,0.6996148824691772,0.7179487347602844
1,128,sigmoid,adagrad,0.01,0.7958921790122986,0.764102578163147
1,128,sigmoid,adagrad,0.1,0.7843388915061951,0.7743589878082275
1,128,sigmoid,adagrad,1.0,0.5750962495803833,0.5743589997291565
1,128,sigmoid,nadam,0.0001,0.7933247685432434,0.7692307829856873
1,128,sigmoid,nadam,0.001,0.8344030976295471,0.8051282167434692
1,128,sigmoid,nadam,0.01,0.8228498101234436,0.8153846263885498
1,128,sigmoid,nadam,0.1,0.562259316444397,0.5743589997291565
1,128,sigmoid,nadam,1.0,0.4980744421482086,0.5743589997291565
1,128,sigmoid,ftrl,0.0001,0.5840821862220764,0.5743589997291565
1,128,sigmoid,ftrl,0.001,0.6970474720001221,0.7179487347602844
1,128,sigmoid,ftrl,0.01,0.7907573580741882,0.7846153974533081
1,128,sigmoid,ftrl,0.1,0.794608473777771,0.7743589878082275
1,128,sigmoid,ftrl,1.0,0.5840821862220764,0.5743589997291565
1,128,softmax,sgd,0.0001,0.5840821862220764,0.5743589997291565
1,128,softmax,sgd,0.001,0.5853658318519592,0.5794872045516968
1,128,softmax,sgd,0.01,0.6546854972839355,0.6153846383094788
1,128,softmax,sgd,0.1,0.5840821862220764,0.5743589997291565
1,128,softmax,sgd,1.0,0.5840821862220764,0.5743589997291565
1,128,softmax,rmsprop,0.0001,0.6290115714073181,0.6666666865348816
1,128,softmax,rmsprop,0.001,0.6508343815803528,0.6102564334869385
1,128,softmax,rmsprop,0.01,0.5840821862220764,0.5743589997291565
1,128,softmax,rmsprop,0.1,0.5866495370864868,0.5743589997291565
1,128,softmax,rmsprop,1.0,0.566110372543335,0.5743589997291565
1,128,softmax,adam,0.0001,0.6662387847900391,0.7230769395828247
1,128,softmax,adam,0.001,0.7355583906173706,0.7538461685180664
1,128,softmax,adam,0.01,0.5917843580245972,0.5743589997291565
1,128,softmax,adam,0.1,0.5840821862220764,0.5743589997291565
1,128,softmax,adam,1.0,0.5840821862220764,0.5743589997291565
1,128,softmax,adadelta,0.0001,0.3260590434074402,0.3641025722026825
1,128,softmax,adadelta,0.001,0.5840821862220764,0.5743589997291565
1,128,softmax,adadelta,0.01,0.5879332423210144,0.6000000238418579
1,128,softmax,adadelta,0.1,0.5840821862220764,0.5743589997291565
1,128,softmax,adadelta,1.0,0.653401792049408,0.6102564334869385
1,128,softmax,adamax,0.0001,0.653401792049408,0.620512843132019
1,128,softmax,adamax,0.001,0.6944801211357117,0.728205144405365
1,128,softmax,adamax,0.01,0.7830551862716675,0.7692307829856873
1,128,softmax,adamax,0.1,0.5840821862220764,0.5743589997291565
1,128,softmax,adamax,1.0,0.5840821862220764,0.5743589997291565
1,128,softmax,adagrad,0.0001,0.1065468564629554,0.1076923087239265
1,128,softmax,adagrad,0.001,0.3260590434074402,0.3641025722026825
1,128,softmax,adagrad,0.01,0.5840821862220764,0.5743589997291565
1,128,softmax,adagrad,0.1,0.5853658318519592,0.5743589997291565
1,128,softmax,adagrad,1.0,0.5840821862220764,0.5743589997291565
1,128,softmax,nadam,0.0001,0.653401792049408,0.728205144405365
1,128,softmax,nadam,0.001,0.5840821862220764,0.5794872045516968
1,128,softmax,nadam,0.01,0.5840821862220764,0.5743589997291565
1,128,softmax,nadam,0.1,0.5840821862220764,0.5743589997291565
1,128,softmax,nadam,1.0,0.5840821862220764,0.5743589997291565
1,128,softmax,ftrl,0.0001,0.5840821862220764,0.5743589997291565
1,128,softmax,ftrl,0.001,0.5840821862220764,0.5743589997291565
1,128,softmax,ftrl,0.01,0.5840821862220764,0.5743589997291565
1,128,softmax,ftrl,0.1,0.5840821862220764,0.5743589997291565
1,128,softmax,ftrl,1.0,0.5840821862220764,0.5743589997291565
1,128,softplus,sgd,0.0001,0.7894737124443054,0.764102578163147
1,128,softplus,sgd,0.001,0.8164313435554504,0.7743589878082275
1,128,softplus,sgd,0.01,0.7920410633087158,0.7846153974533081
1,128,softplus,sgd,0.1,0.5853658318519592,0.5743589997291565
1,128,softplus,sgd,1.0,0.5905006527900696,0.5743589997291565
1,128,softplus,rmsprop,0.0001,0.8100128173828125,0.764102578163147
1,128,softplus,rmsprop,0.001,0.7933247685432434,0.7897436022758484
1,128,softplus,rmsprop,0.01,0.7766367197036743,0.7794871926307678
1,128,softplus,rmsprop,0.1,0.6213093996047974,0.6000000238418579
1,128,softplus,rmsprop,1.0,0.5596919059753418,0.5743589997291565
1,128,softplus,adam,0.0001,0.8279845714569092,0.7794871926307678
1,128,softplus,adam,0.001,0.8228498101234436,0.8153846263885498
1,128,softplus,adam,0.01,0.8189986944198608,0.8051282167434692
1,128,softplus,adam,0.1,0.5840821862220764,0.5743589997291565
1,128,softplus,adam,1.0,0.5840821862220764,0.5743589997291565
1,128,softplus,adadelta,0.0001,0.5840821862220764,0.5743589997291565
1,128,softplus,adadelta,0.001,0.5982028245925903,0.5897436141967773
1,128,softplus,adadelta,0.01,0.7663671374320984,0.6871795058250427
1,128,softplus,adadelta,0.1,0.8061617612838745,0.764102578163147
1,128,softplus,adadelta,1.0,0.7933247685432434,0.7846153974533081
1,128,softplus,adamax,0.0001,0.7881900072097778,0.7692307829856873
1,128,softplus,adamax,0.001,0.8292682766914368,0.7948718070983887
1,128,softplus,adamax,0.01,0.817715048789978,0.8051282167434692
1,128,softplus,adamax,0.1,0.7753530144691467,0.7846153974533081
1,128,softplus,adamax,1.0,0.5840821862220764,0.5743589997291565
1,128,softplus,adagrad,0.0001,0.6919127106666565,0.692307710647583
1,128,softplus,adagrad,0.001,0.7817714810371399,0.7589743733406067
1,128,softplus,adagrad,0.01,0.821566104888916,0.7743589878082275
1,128,softplus,adagrad,0.1,0.8074454665184021,0.7897436022758484
1,128,softplus,adagrad,1.0,0.5840821862220764,0.5743589997291565
1,128,softplus,nadam,0.0001,0.8164313435554504,0.764102578163147
1,128,softplus,nadam,0.001,0.8241335153579712,0.800000011920929
1,128,softplus,nadam,0.01,0.8228498101234436,0.8102564215660095
1,128,softplus,nadam,0.1,0.7509627938270569,0.7794871926307678
1,128,softplus,nadam,1.0,0.5840821862220764,0.5743589997291565
1,128,softplus,ftrl,0.0001,0.5815147757530212,0.5692307949066162
1,128,softplus,ftrl,0.001,0.7663671374320984,0.7487179636955261
1,128,softplus,ftrl,0.01,0.8125802278518677,0.7846153974533081
1,128,softplus,ftrl,0.1,0.8151476383209229,0.7897436022758484
1,128,softplus,ftrl,1.0,0.5840821862220764,0.5743589997291565
1,128,softsign,sgd,0.0001,0.6893453001976013,0.7025641202926636
1,128,softsign,sgd,0.001,0.7894737124443054,0.7692307829856873
1,128,softsign,sgd,0.01,0.7869063019752502,0.7846153974533081
1,128,softsign,sgd,0.1,0.6302952766418457,0.7435897588729858
1,128,softsign,sgd,1.0,0.4890885651111603,0.5743589997291565
1,128,softsign,rmsprop,0.0001,0.8138639330863953,0.7794871926307678
1,128,softsign,rmsprop,0.001,0.8267009258270264,0.8153846263885498
1,128,softsign,rmsprop,0.01,0.7368420958518982,0.7692307829856873
1,128,softsign,rmsprop,0.1,0.6251604557037354,0.7487179636955261
1,128,softsign,rmsprop,1.0,0.6007702350616455,0.7538461685180664
1,128,softsign,adam,0.0001,0.7933247685432434,0.7589743733406067
1,128,softsign,adam,0.001,0.8292682766914368,0.8051282167434692
1,128,softsign,adam,0.01,0.7766367197036743,0.7743589878082275
1,128,softsign,adam,0.1,0.5789473652839661,0.5846154093742371
1,128,softsign,adam,1.0,0.4993581473827362,0.5948718190193176
1,128,softsign,adadelta,0.0001,0.0577663667500019,0.0769230797886848
1,128,softsign,adadelta,0.001,0.6546854972839355,0.7128205299377441
1,128,softsign,adadelta,0.01,0.70346599817276,0.7384615540504456
1,128,softsign,adadelta,0.1,0.8023106455802917,0.764102578163147
1,128,softsign,adadelta,1.0,0.821566104888916,0.8051282167434692
1,128,softsign,adamax,0.0001,0.7548138499259949,0.7743589878082275
1,128,softsign,adamax,0.001,0.821566104888916,0.7846153974533081
1,128,softsign,adamax,0.01,0.8279845714569092,0.7897436022758484
1,128,softsign,adamax,0.1,0.7509627938270569,0.764102578163147
1,128,softsign,adamax,1.0,0.5840821862220764,0.728205144405365
1,128,softsign,adagrad,0.0001,0.5840821862220764,0.5743589997291565
1,128,softsign,adagrad,0.001,0.7432605624198914,0.7435897588729858
1,128,softsign,adagrad,0.01,0.8267009258270264,0.7897436022758484
1,128,softsign,adagrad,0.1,0.8061617612838745,0.7794871926307678
1,128,softsign,adagrad,1.0,0.5699614882469177,0.728205144405365
1,128,softsign,nadam,0.0001,0.7817714810371399,0.7846153974533081
1,128,softsign,nadam,0.001,0.8318356871604919,0.8051282167434692
1,128,softsign,nadam,0.01,0.821566104888916,0.8051282167434692
1,128,softsign,nadam,0.1,0.5468549132347107,0.5743589997291565
1,128,softsign,nadam,1.0,0.4980744421482086,0.5743589997291565
1,128,softsign,ftrl,0.0001,0.5840821862220764,0.5743589997291565
1,128,softsign,ftrl,0.001,0.7548138499259949,0.7487179636955261
1,128,softsign,ftrl,0.01,0.8267009258270264,0.7897436022758484
1,128,softsign,ftrl,0.1,0.7792041301727295,0.7692307829856873
1,128,softsign,ftrl,1.0,0.5763799548149109,0.7230769395828247
1,128,tanh,sgd,0.0001,0.7150192260742188,0.7384615540504456
1,128,tanh,sgd,0.001,0.7804877758026123,0.800000011920929
1,128,tanh,sgd,0.01,0.75738126039505,0.764102578163147
1,128,tanh,sgd,0.1,0.5198972821235657,0.5743589997291565
1,128,tanh,sgd,1.0,0.5057766437530518,0.5743589997291565
1,128,tanh,rmsprop,0.0001,0.8125802278518677,0.7948718070983887
1,128,tanh,rmsprop,0.001,0.8292682766914368,0.8051282167434692
1,128,tanh,rmsprop,0.01,0.7008985877037048,0.7692307829856873
1,128,tanh,rmsprop,0.1,0.4942233562469482,0.5743589997291565
1,128,tanh,rmsprop,1.0,0.4916559755802154,0.5743589997291565
1,128,tanh,adam,0.0001,0.8164313435554504,0.7846153974533081
1,128,tanh,adam,0.001,0.8344030976295471,0.8102564215660095
1,128,tanh,adam,0.01,0.7586649656295776,0.7589743733406067
1,128,tanh,adam,0.1,0.5455712676048279,0.5743589997291565
1,128,tanh,adam,1.0,0.5096276998519897,0.5743589997291565
1,128,tanh,adadelta,0.0001,0.5840821862220764,0.5692307949066162
1,128,tanh,adadelta,0.001,0.0937098860740661,0.0717948749661445
1,128,tanh,adadelta,0.01,0.6662387847900391,0.7179487347602844
1,128,tanh,adadelta,0.1,0.8100128173828125,0.764102578163147
1,128,tanh,adadelta,1.0,0.8241335153579712,0.8051282167434692
1,128,tanh,adamax,0.0001,0.7804877758026123,0.7538461685180664
1,128,tanh,adamax,0.001,0.8241335153579712,0.7743589878082275
1,128,tanh,adamax,0.01,0.8254172205924988,0.8051282167434692
1,128,tanh,adamax,0.1,0.5699614882469177,0.5743589997291565
1,128,tanh,adamax,1.0,0.5134788155555725,0.5743589997291565
1,128,tanh,adagrad,0.0001,0.6713735461235046,0.656410276889801
1,128,tanh,adagrad,0.001,0.7766367197036743,0.7743589878082275
1,128,tanh,adagrad,0.01,0.817715048789978,0.7846153974533081
1,128,tanh,adagrad,0.1,0.5853658318519592,0.5743589997291565
1,128,tanh,adagrad,1.0,0.5442875623703003,0.5743589997291565
1,128,tanh,nadam,0.0001,0.7958921790122986,0.7794871926307678
1,128,tanh,nadam,0.001,0.8344030976295471,0.8307692408561707
1,128,tanh,nadam,0.01,0.7663671374320984,0.7589743733406067
1,128,tanh,nadam,0.1,0.5404364466667175,0.5743589997291565
1,128,tanh,nadam,1.0,0.5134788155555725,0.5743589997291565
1,128,tanh,ftrl,0.0001,0.5840821862220764,0.5743589997291565
1,128,tanh,ftrl,0.001,0.7008985877037048,0.7333333492279053
1,128,tanh,ftrl,0.01,0.8151476383209229,0.7846153974533081
1,128,tanh,ftrl,0.1,0.5840821862220764,0.5743589997291565
1,128,tanh,ftrl,1.0,0.535301685333252,0.5743589997291565
1,128,elu,sgd,0.0001,0.7637997269630432,0.7692307829856873
1,128,elu,sgd,0.001,0.821566104888916,0.7794871926307678
1,128,elu,sgd,0.01,0.7958921790122986,0.7794871926307678
1,128,elu,sgd,0.1,0.5507060289382935,0.5743589997291565
1,128,elu,sgd,1.0,0.5147625207901001,0.5743589997291565
1,128,elu,rmsprop,0.0001,0.8138639330863953,0.7692307829856873
1,128,elu,rmsprop,0.001,0.794608473777771,0.7846153974533081
1,128,elu,rmsprop,0.01,0.7522464990615845,0.7743589878082275
1,128,elu,rmsprop,0.1,0.5032092332839966,0.5743589997291565
1,128,elu,rmsprop,1.0,0.4980744421482086,0.5743589997291565
1,128,elu,adam,0.0001,0.8048780560493469,0.7743589878082275
1,128,elu,adam,0.001,0.8279845714569092,0.800000011920929
1,128,elu,adam,0.01,0.817715048789978,0.8102564215660095
1,128,elu,adam,0.1,0.7240051627159119,0.7743589878082275
1,128,elu,adam,1.0,0.4980744421482086,0.5743589997291565
1,128,elu,adadelta,0.0001,0.5840821862220764,0.5743589997291565
1,128,elu,adadelta,0.001,0.5327342748641968,0.5435897707939148
1,128,elu,adadelta,0.01,0.740693211555481,0.7589743733406067
1,128,elu,adadelta,0.1,0.8164313435554504,0.7846153974533081
1,128,elu,adadelta,1.0,0.8035943508148193,0.7897436022758484
1,128,elu,adamax,0.0001,0.7727856040000916,0.728205144405365
1,128,elu,adamax,0.001,0.8254172205924988,0.7948718070983887
1,128,elu,adamax,0.01,0.8202823996543884,0.800000011920929
1,128,elu,adamax,0.1,0.8023106455802917,0.7948718070983887
1,128,elu,adamax,1.0,0.5263158082962036,0.5743589997291565
1,128,elu,adagrad,0.0001,0.5969191193580627,0.5897436141967773
1,128,elu,adagrad,0.001,0.7702182531356812,0.7538461685180664
1,128,elu,adagrad,0.01,0.817715048789978,0.7846153974533081
1,128,elu,adagrad,0.1,0.8228498101234436,0.8102564215660095
1,128,elu,adagrad,1.0,0.7355583906173706,0.764102578163147
1,128,elu,nadam,0.0001,0.8164313435554504,0.7692307829856873
1,128,elu,nadam,0.001,0.8279845714569092,0.8256410360336304
1,128,elu,nadam,0.01,0.8267009258270264,0.8102564215660095
1,128,elu,nadam,0.1,0.7150192260742188,0.7692307829856873
1,128,elu,nadam,1.0,0.5044929385185242,0.5743589997291565
1,128,elu,ftrl,0.0001,0.5827984809875488,0.5794872045516968
1,128,elu,ftrl,0.001,0.7727856040000916,0.7435897588729858
1,128,elu,ftrl,0.01,0.8189986944198608,0.7846153974533081
1,128,elu,ftrl,0.1,0.8189986944198608,0.8051282167434692
