name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.65, 121.05",1987-01-01,32.5,22.1,26.6,37.7,22.1,28.3,21.9,76,0,0,0,,,,,55.9,86.6,1011.3,44.6,11.8,,,,,1987-01-01T06:20:51,1987-01-01T17:37:17,0.03,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-02,32,22.1,27.4,39.1,22.1,30,22.9,77.1,0,0,0,,,,,55.6,83.9,1012,42.2,12,,,,,1987-01-02T06:21:13,1987-01-02T17:37:51,0.07,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-03,32.1,22.1,27.6,40.6,22.1,30.9,23.7,80.1,0,0,0,,,,,34.2,77.8,1012.6,36.8,11.3,,,,,1987-01-03T06:21:35,1987-01-03T17:38:26,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428041224,98425099999"
"14.65, 121.05",1987-01-04,32.1,24,27.8,37.9,24,30.7,23.3,77,0,0,0,,,,,55.6,93.7,1012.4,34.3,11.5,,,,,1987-01-04T06:21:56,1987-01-04T17:39:01,0.13,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98425099999"
"14.65, 121.05",1987-01-05,32.3,22.1,27.1,36.6,22.1,29.2,22.5,76.7,0,0,0,,,,,34,99.4,1013,37.4,12.1,,,,,1987-01-05T06:22:15,1987-01-05T17:39:36,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-06,30.9,23.1,26.5,37.5,23.1,28.1,22.3,78,0,0,0,,,,,62.6,80.1,1014.2,38.1,12.9,,,,,1987-01-06T06:22:34,1987-01-06T17:40:11,0.2,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-07,32,23.1,26.6,39,23.1,28.5,22.4,78.2,0.3,100,4.17,rain,,,,48.6,70.9,1014.8,50.6,11,,,,,1987-01-07T06:22:52,1987-01-07T17:40:46,0.25,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-08,28.1,22.1,25.1,31.2,22.1,25.7,22,83.6,0,0,0,,,,,41.1,84.5,1014.3,71.4,10.8,,,,,1987-01-08T06:23:09,1987-01-08T17:41:21,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-09,30,22,25.6,34,22,26.5,19.9,71.8,0,0,0,,,,,62.9,85,1014.3,45.1,12.1,,,,,1987-01-09T06:23:25,1987-01-09T17:41:56,0.3,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-10,30.5,20.1,25.8,44,20.1,26.9,19.8,71.1,0,0,0,,,,,48.6,82.8,1014.2,38,10.9,,,,,1987-01-10T06:23:40,1987-01-10T17:42:31,0.34,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-11,31.8,20.1,25.6,34.5,20.1,26.7,20.6,75.2,0,0,0,,,,,55.6,80.4,1014,40.3,11.9,,,,,1987-01-11T06:23:54,1987-01-11T17:43:07,0.37,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-12,30,20.9,25.7,32.9,20.9,26.7,20.7,74.6,0,0,0,,,,,34.3,306.6,1013.8,39,12.8,,,,,1987-01-12T06:24:06,1987-01-12T17:43:42,0.4,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-13,27.1,22,24.3,28.9,22,24.5,19,73.3,0,0,0,,,,,55.6,57.3,1015.1,58.9,11.5,,,,,1987-01-13T06:24:18,1987-01-13T17:44:17,0.44,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-14,27.1,18.9,23.2,27.9,18.9,23.3,16.7,68,0,0,0,,,,,55.9,73.2,1015.2,45.2,13.2,,,,,1987-01-14T06:24:29,1987-01-14T17:44:51,0.47,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-15,28,19.4,23.2,31.1,19.4,23.6,18.5,75.8,0,0,0,,,,,41.3,73.7,1015.9,56.2,11.5,,,,,1987-01-15T06:24:38,1987-01-15T17:45:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-16,30,19.1,24.1,31.9,19.1,24.6,18.6,72.5,0,0,0,,,,,52,71.9,1016.5,31.3,11.5,,,,,1987-01-16T06:24:47,1987-01-16T17:46:00,0.54,Partially cloudy,Becoming cloudy in the afternoon.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-17,30.1,20.1,25.4,33.2,20.1,26.5,20.1,73,19,100,4.17,rain,,,,48.4,69.7,1013.8,49.7,11.9,,,,,1987-01-17T06:24:54,1987-01-17T17:46:35,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-18,30.1,22.1,25.6,34.2,22.1,26.8,21.2,77.2,0,0,0,,,,,48.4,87.9,1013.1,48.3,13,,,,,1987-01-18T06:25:00,1987-01-18T17:47:09,0.61,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-19,30.1,19.1,24.9,35.1,19.1,26.1,21,80,0,0,0,,,,,48.4,86.7,1013.4,36,11.9,,,,,1987-01-19T06:25:05,1987-01-19T17:47:42,0.64,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-20,30,21.1,24.9,34.1,21.1,25.7,20.5,77.3,0,0,0,,,,,62.5,91,1013.2,40.3,11.7,,,,,1987-01-20T06:25:09,1987-01-20T17:48:16,0.67,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-21,29.3,19.1,24.4,30.6,19.1,25,19.6,75.4,0,0,0,,,,,55.9,84.2,1013.3,50.1,11.3,,,,,1987-01-21T06:25:12,1987-01-21T17:48:49,0.71,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-22,29.1,19.2,25,32.7,19.2,25.9,20,74.5,0,0,0,,,,,34.4,81.5,1013.9,45.3,11.7,,,,,1987-01-22T06:25:13,1987-01-22T17:49:21,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-23,30.1,18.1,24.8,33.5,18.1,25.4,18.8,71.1,0,0,0,,,,,34.2,69.9,1014.4,53.5,10.9,,,,,1987-01-23T06:25:14,1987-01-23T17:49:53,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-24,30.1,20.1,24.7,34.9,20.1,25.4,20,76.3,0,0,0,,,,,34.2,54.8,1014.6,42.6,11.2,,,,,1987-01-24T06:25:13,1987-01-24T17:50:25,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-25,29.1,18.2,24.8,32.7,18.2,25.6,20.4,77.2,0.3,100,4.17,rain,,,,34.3,51.8,1014.8,67.1,11.1,,,,,1987-01-25T06:25:11,1987-01-25T17:50:57,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-26,28.5,19.1,24.1,29.6,19.1,24.4,18.7,73.1,0,0,0,,,,,48.7,79.4,1016.6,52.6,12.1,,,,,1987-01-26T06:25:08,1987-01-26T17:51:28,0.88,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-27,27.1,19.1,23.1,28.8,19.1,23.3,18.2,74.3,0,0,0,,,,,55.9,81.9,1018.8,54.9,12.7,,,,,1987-01-27T06:25:04,1987-01-27T17:51:58,0.92,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-28,28.8,17.1,22.8,29,17.1,22.9,17.6,74.3,0,0,0,,,,,83.9,85.1,1017.6,36.4,12.9,,,,,1987-01-28T06:24:59,1987-01-28T17:52:28,0.95,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-29,27.6,18.2,23.2,29.6,18.2,23.4,18.3,74.5,0,0,0,,,,,55.9,88.8,1016.8,42.1,11.8,,,,,1987-01-29T06:24:52,1987-01-29T17:52:58,0,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-30,29.1,18.1,23.7,31.4,18.1,24.1,18.6,74.3,0,0,0,,,,,55.8,86,1016.1,30.8,12.2,,,,,1987-01-30T06:24:45,1987-01-30T17:53:27,0.02,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-01-31,31.1,19.1,24.9,33.7,19.1,25.7,19,70.8,0,0,0,,,,,40.8,74.6,1015.6,49.8,11.7,,,,,1987-01-31T06:24:36,1987-01-31T17:53:56,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1987-02-01,29,19.2,24.6,31.3,19.2,25.4,20.6,78.9,0,0,0,,,,,41,80.6,1015,59.6,11.4,,,,,1987-02-01T06:24:26,1987-02-01T17:54:24,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428041224,98430099999,98425099999"
