name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.65, 121.05",2001-01-01,28.7,22.9,25.2,30.5,22.9,25.5,20,74.3,4.1,100,4.17,rain,,,,29.5,81.4,1010.2,73.8,5.8,,,,,2001-01-01T06:21:02,2001-01-01T17:37:36,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98425099999"
"14.65, 121.05",2001-01-02,28.6,21.1,25.1,30.4,21.1,25.5,19.2,70.6,0,0,0,,,,,18.4,103.4,1012.1,75.2,8.9,,,,,2001-01-02T06:21:24,2001-01-02T17:38:10,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98428099999,98434099999,98430099999,98425099999"
"14.65, 121.05",2001-01-03,30.1,21.7,25.3,33.4,21.7,26.1,20.3,75,0.04,100,4.17,rain,,,,18.4,110.5,1011.8,57.4,9.2,,,,,2001-01-03T06:21:45,2001-01-03T17:38:45,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98425099999"
"14.65, 121.05",2001-01-04,30.3,20.1,25.7,33.5,20.1,26.6,20.2,72.6,0,0,0,,,,,18.4,94.6,1012.6,47.2,9.3,,,,,2001-01-04T06:22:05,2001-01-04T17:39:20,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98428099999,98434099999,98430099999,98425099999"
"14.65, 121.05",2001-01-05,30.1,20.2,25.6,33.4,20.2,26.5,20.8,75.6,0.346,100,4.17,rain,,,,29.5,103.5,1013.3,47.8,7.9,,,,,2001-01-05T06:22:24,2001-01-05T17:39:55,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98425099999"
"14.65, 121.05",2001-01-06,30.1,22.9,26.6,34.4,22.9,28.4,22.7,80.3,0,0,0,,,,,18.4,98.4,1012.1,56,7.6,,,,,2001-01-06T06:22:43,2001-01-06T17:40:30,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999"
"14.65, 121.05",2001-01-07,30.2,25.1,27.8,35.2,25.1,30.5,23.9,79.8,0.192,100,4.17,rain,,,,14.8,8.6,1010.7,64.3,7.1,,,,,2001-01-07T06:23:00,2001-01-07T17:41:05,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98432099999,98429099999,98428099999,98434099999"
"14.65, 121.05",2001-01-08,31.6,25.1,27.7,36.7,25.1,30.3,23.8,80.3,0.194,100,4.17,rain,,,,18.4,114.1,1009.4,60.9,8.6,,,,,2001-01-08T06:23:16,2001-01-08T17:41:40,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98432099999,98429099999,98327099999,98428099999,98434099999"
"14.65, 121.05",2001-01-09,31.6,24.1,27.9,38.1,24.1,30.5,23.4,77.4,0,0,0,,,,,18.4,118.5,1009.8,45.3,9.2,,,,,2001-01-09T06:23:31,2001-01-09T17:42:15,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98425099999"
"14.65, 121.05",2001-01-10,32.1,23.2,27.6,35.9,23.2,29.9,23,77.1,0,0,0,,,,,18.4,130.8,1009.6,48.3,9.2,,,,,2001-01-10T06:23:46,2001-01-10T17:42:51,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98425099999"
