name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"14.6689,121.0277",2025-01-01T00:00:00,27.9,32.6,24.9,83.78,0,0,,0,0,9,7.5,123,1011,89,9,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T01:00:00,25.1,25.1,24.2,94.82,0,0,,0,0,9,10.6,147,1011.4,99.7,8.3,0,0,0,,Overcast,cloudy,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T02:00:00,25.7,25.7,24.6,93.86,0.015,100,rain,0,0,11.2,0.2,18,1010.2,90.8,4.3,0,0,0,,"Rain, Overcast",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-01T03:00:00,26,26,24.9,94.09,0,0,,0,0,13.7,4.8,185,1011.8,99.7,11.4,0,0,0,,Overcast,cloudy,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T04:00:00,26.8,27.9,18.6,60.73,0,0,,0,0,14.4,2.1,52,1011.3,85.8,11.4,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T05:00:00,25.2,25.2,23.7,91.57,0,0,,0,0,14,3.3,58,1009.9,89,7.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-01T06:00:00,26,26,26,100,0,0,,0,0,12.6,1.8,8.4,1010,88.9,5,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T07:00:00,26.6,26.6,25.8,95.34,0,0,,0,0,12.6,6.6,213,1012.8,39.4,15.4,25,0.1,0,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T08:00:00,26.1,26.1,24.4,90.39,0.393,100,rain,0,0,13,0.3,230,1011.6,89.5,7,80,0.3,1,,"Rain, Partially cloudy",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-01T09:00:00,28,33.4,25.9,88.65,0,0,,0,0,11.9,7.5,282,1012,89,6.1,195,0.7,2,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T10:00:00,28,32.7,24.9,83.54,0,0,,0,0,16.2,7.5,273,1011,89,6.1,164,0.6,2,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T11:00:00,27.9,32,24.2,80.14,0.015,100,rain,0,0,22.7,0.6,290,1011.2,90.5,7,189,0.7,2,,"Rain, Overcast",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-01T12:00:00,28,32.7,24.9,83.17,0,0,,0,0,33.5,10.9,30,1011.3,83.9,9.1,224,0.8,2,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T13:00:00,28.1,30.7,21.9,69.14,0,0,,0,0,32,9,255,1011.3,80.7,9.1,348,1.3,3,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T14:00:00,30,35.5,24.4,71.78,0,0,,0,0,15.1,4.1,249,1008.5,98.9,7.2,363,1.3,4,,Overcast,cloudy,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-01T15:00:00,27.9,30.5,22,70.63,0,0,,0,0,23.8,15.8,88,1009.5,83.5,12.1,146,0.5,1,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T16:00:00,27.3,29.5,21.5,70.46,0,0,,0,0,18,18.6,88,1009.5,78.1,12.1,78,0.3,1,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T17:00:00,29.3,32.9,22.8,68.06,0,0,,0,0,18.7,7.8,155,1009.2,98.8,7.3,19,0.1,0,,Overcast,cloudy,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-01T18:00:00,26.3,26.3,22,77.38,0,0,,0,0,13.3,15.4,89,1011.1,75.4,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T19:00:00,26.5,26.5,22.8,80.06,0,0,,0,0,14,15.4,98,1010.9,70.1,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T20:00:00,26.6,26.6,22.7,79.12,0,0,,0,0,14.8,1.1,117,1010.6,89.5,7.3,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-01T21:00:00,25.5,25.5,22.6,84.05,0,0,,0,0,11.9,11.2,92,1011.5,89,9.9,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T22:00:00,25.1,25.1,21.3,79.63,0,0,,0,0,11.2,8.1,89,1011.5,89,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-01T23:00:00,25.3,25.3,22.7,85.83,0,0,,0,0,13,4.2,205,1011.1,44.2,8.2,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-02T00:00:00,26.5,26.5,23.4,83.07,0,0,,0,0,13.3,6.6,115,1012.3,49.5,18.5,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-02T01:00:00,26.2,26.2,24.6,91.06,0,0,,0,0,16.9,5.1,76,1012.4,39.4,18.5,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-02T02:00:00,25.1,25.1,23.2,89.05,0,0,,0,0,18.7,3.8,43,1010,48.3,8.2,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-02T03:00:00,26,26,23,83.56,0,0,,0,0,12.6,3.4,273,1010.8,74.6,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-02T04:00:00,26,26,23.9,88.62,0,0,,0,0,11.5,5.4,273,1011.1,77.4,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-02T05:00:00,24.4,24.4,23.2,92.65,0,0,,0,0,10.8,0.3,227,1009.6,88.9,8.2,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-02T06:00:00,26.4,26.4,24.8,91.07,0,0,,0,0,10.1,6,312,1011.3,89,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-02T07:00:00,26.2,26.2,25.4,95.33,0,0,,0,0,12.6,3.2,121,1011.3,83.5,12.1,19,0.1,0,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-02T08:00:00,26.9,29.6,23.4,81.55,0,0,,0,0,17.6,3.6,57,1011.3,89.8,8.2,115,0.4,1,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-02T09:00:00,29,34.4,24.9,78.94,0,0,,0,0,18,3.6,310,1011,89,10,201,0.7,2,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,RPLL,E0758"
