,Inputs,Outputs,Inputs 0,Inputs 1,Inputs 2,Inputs 3,Inputs 4
0,"[10, 7, 5, 7, 2]",20,10,7,5,7,2
1,"[4, 7, 7, 1, 9]",90,4,7,7,1,9
2,"[4, 7, 10, 8, 7]",70,4,7,10,8,7
3,"[8, 2, 1, 8, 8]",80,8,2,1,8,8
4,"[9, 3, 1, 6, 9]",90,9,3,1,6,9
5,"[6, 10, 6, 2, 10]",100,6,10,6,2,10
6,"[2, 5, 4, 7, 5]",50,2,5,4,7,5
7,"[2, 6, 8, 8, 2]",20,2,6,8,8,2
8,"[1, 6, 1, 3, 6]",60,1,6,1,3,6
9,"[10, 2, 10, 6, 2]",20,10,2,10,6,2
10,"[9, 2, 4, 9, 6]",60,9,2,4,9,6
11,"[10, 1, 8, 2, 5]",50,10,1,8,2,5
12,"[10, 4, 8, 3, 3]",30,10,4,8,3,3
13,"[6, 5, 9, 2, 8]",80,6,5,9,2,8
14,"[5, 7, 1, 6, 9]",90,5,7,1,6,9
15,"[7, 9, 9, 8, 5]",50,7,9,9,8,5
16,"[10, 7, 5, 3, 8]",80,10,7,5,3,8
17,"[10, 3, 3, 4, 2]",20,10,3,3,4,2
18,"[2, 4, 4, 5, 5]",50,2,4,4,5,5
19,"[5, 7, 5, 1, 7]",70,5,7,5,1,7
20,"[8, 2, 7, 9, 7]",70,8,2,7,9,7
21,"[5, 8, 4, 9, 1]",10,5,8,4,9,1
22,"[9, 1, 6, 3, 2]",20,9,1,6,3,2
23,"[3, 6, 9, 8, 1]",10,3,6,9,8,1
24,"[5, 8, 7, 5, 3]",30,5,8,7,5,3
25,"[2, 2, 8, 9, 4]",40,2,2,8,9,4
26,"[5, 9, 4, 3, 3]",30,5,9,4,3,3
27,"[6, 1, 3, 9, 5]",50,6,1,3,9,5
28,"[4, 4, 9, 4, 10]",100,4,4,9,4,10
29,"[2, 2, 1, 9, 2]",20,2,2,1,9,2
30,"[1, 10, 5, 2, 3]",30,1,10,5,2,3
31,"[2, 10, 4, 7, 5]",50,2,10,4,7,5
32,"[5, 7, 1, 8, 9]",90,5,7,1,8,9
33,"[10, 5, 10, 6, 7]",70,10,5,10,6,7
34,"[9, 3, 7, 5, 7]",70,9,3,7,5,7
35,"[10, 10, 5, 3, 8]",80,10,10,5,3,8
36,"[6, 4, 8, 6, 8]",80,6,4,8,6,8
37,"[4, 6, 9, 7, 10]",100,4,6,9,7,10
38,"[3, 6, 5, 5, 2]",20,3,6,5,5,2
39,"[9, 5, 3, 7, 3]",30,9,5,3,7,3
40,"[9, 1, 1, 8, 10]",100,9,1,1,8,10
41,"[8, 5, 8, 9, 3]",30,8,5,8,9,3
42,"[1, 4, 6, 2, 1]",10,1,4,6,2,1
43,"[3, 1, 1, 5, 9]",90,3,1,1,5,9
44,"[10, 5, 3, 3, 6]",60,10,5,3,3,6
45,"[2, 1, 8, 6, 5]",50,2,1,8,6,5
46,"[9, 10, 4, 7, 4]",40,9,10,4,7,4
47,"[9, 2, 7, 6, 7]",70,9,2,7,6,7
48,"[4, 9, 3, 4, 10]",100,4,9,3,4,10
49,"[6, 6, 6, 9, 10]",100,6,6,6,9,10
50,"[5, 2, 6, 1, 8]",80,5,2,6,1,8
51,"[1, 7, 5, 3, 7]",70,1,7,5,3,7
52,"[8, 5, 5, 10, 3]",30,8,5,5,10,3
53,"[2, 7, 2, 8, 7]",70,2,7,2,8,7
54,"[2, 2, 10, 7, 8]",80,2,2,10,7,8
55,"[1, 4, 8, 7, 1]",10,1,4,8,7,1
56,"[5, 6, 2, 5, 6]",60,5,6,2,5,6
57,"[3, 1, 1, 3, 1]",10,3,1,1,3,1
58,"[4, 7, 10, 8, 5]",50,4,7,10,8,5
59,"[10, 3, 7, 2, 4]",40,10,3,7,2,4
60,"[2, 4, 3, 3, 1]",10,2,4,3,3,1
61,"[7, 2, 6, 9, 2]",20,7,2,6,9,2
62,"[8, 9, 4, 9, 6]",60,8,9,4,9,6
63,"[8, 6, 5, 10, 6]",60,8,6,5,10,6
64,"[1, 5, 5, 10, 1]",10,1,5,5,10,1
65,"[8, 10, 1, 4, 6]",60,8,10,1,4,6
66,"[4, 7, 4, 2, 8]",80,4,7,4,2,8
67,"[4, 10, 6, 1, 1]",10,4,10,6,1,1
68,"[4, 2, 1, 5, 4]",40,4,2,1,5,4
69,"[5, 9, 8, 8, 7]",70,5,9,8,8,7
70,"[3, 3, 7, 10, 10]",100,3,3,7,10,10
71,"[1, 3, 6, 1, 5]",50,1,3,6,1,5
72,"[6, 3, 5, 5, 7]",70,6,3,5,5,7
73,"[9, 3, 7, 8, 7]",70,9,3,7,8,7
74,"[9, 1, 10, 5, 8]",80,9,1,10,5,8
75,"[2, 4, 1, 5, 9]",90,2,4,1,5,9
76,"[3, 3, 4, 7, 5]",50,3,3,4,7,5
77,"[1, 2, 9, 8, 10]",100,1,2,9,8,10
78,"[2, 10, 9, 5, 4]",40,2,10,9,5,4
79,"[5, 1, 3, 9, 1]",10,5,1,3,9,1
80,"[7, 6, 1, 1, 8]",80,7,6,1,1,8
81,"[3, 9, 5, 10, 3]",30,3,9,5,10,3
82,"[5, 3, 8, 6, 7]",70,5,3,8,6,7
83,"[3, 6, 2, 4, 2]",20,3,6,2,4,2
84,"[6, 8, 7, 6, 2]",20,6,8,7,6,2
85,"[1, 1, 2, 7, 7]",70,1,1,2,7,7
86,"[8, 3, 3, 3, 9]",90,8,3,3,3,9
87,"[3, 4, 8, 4, 8]",80,3,4,8,4,8
88,"[2, 7, 2, 4, 3]",30,2,7,2,4,3
89,"[6, 5, 4, 6, 9]",90,6,5,4,6,9
90,"[2, 10, 10, 3, 10]",100,2,10,10,3,10
91,"[6, 4, 10, 10, 4]",40,6,4,10,10,4
92,"[5, 8, 10, 3, 7]",70,5,8,10,3,7
93,"[1, 10, 2, 5, 8]",80,1,10,2,5,8
94,"[9, 9, 5, 8, 3]",30,9,9,5,8,3
95,"[6, 6, 10, 2, 7]",70,6,6,10,2,7
96,"[1, 1, 6, 2, 10]",100,1,1,6,2,10
97,"[3, 7, 7, 9, 10]",100,3,7,7,9,10
98,"[8, 2, 3, 8, 10]",100,8,2,3,8,10
99,"[10, 4, 3, 5, 10]",100,10,4,3,5,10
