name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
quezon city,2023-01-01,31.9,16,27.1,34.6,16,28.9,22.6,75.1,1.879,100,12.5,rain,0,0,9.8,20.8,46.4,1012.7,73.2,6.5,137.6,11.8,7,10,2023-01-01T06:20:57,2023-01-01T17:37:21,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,98327099999,98428099999,RPLL,98430099999,remote,98433099999,E0758,98425099999"
quezon city,2023-01-02,31.7,24.2,27.5,36.5,24.2,29.6,23.1,78.1,2.986,100,16.67,rain,0,0,23.9,9.2,37.8,1012.6,64.5,5.8,94.8,8.2,5,10,2023-01-02T06:21:19,2023-01-02T17:37:56,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2023-01-03,29,24.4,26,33.6,24.4,26.9,23.7,87.9,25.313,100,25,rain,0,0,38,9.2,27,1012,90.6,5.4,68.3,5.8,3,10,2023-01-03T06:21:40,2023-01-03T17:38:31,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"98429099999,C6CX3,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2023-01-04,29.1,23.8,26.1,32,23.8,27,22.1,79.7,3.952,100,12.5,rain,0,0,38,11.5,32.3,1011.7,86.7,5.7,57.3,5,3,10,2023-01-04T06:22:01,2023-01-04T17:39:05,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2023-01-05,25.9,23.1,24.5,25.9,23.1,24.5,23,91.4,21.478,100,25,rain,0,0,29.5,10.1,348.6,1012.4,92.9,5.1,33.9,2.8,1,10,2023-01-05T06:22:20,2023-01-05T17:39:40,0.44,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"98429099999,C6CX3,98327099999,98428099999,RPLL,98430099999,E0758,98433099999,98425099999"
quezon city,2023-01-06,28.2,23.7,25.5,32.5,23.7,26.1,23.3,87.8,46.122,100,16.67,rain,0,0,20.1,9.3,53.4,1013.2,89.5,5.2,88.6,7.5,4,10,2023-01-06T06:22:39,2023-01-06T17:40:15,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98429099999,C6CX3,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2023-01-07,30,23.5,26.5,31.3,23.5,27,20.1,68.9,0.521,100,4.17,rain,0,0,22.4,14.9,80.4,1013.1,56.6,6,100.8,8.9,5,10,2023-01-07T06:22:56,2023-01-07T17:40:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,C6CX3,98327099999,98428099999,RPLL,98430099999,E0758,98433099999,98425099999"
quezon city,2023-01-08,28,22.4,25.5,30.1,22.4,26.1,19.7,70.7,0.005,100,4.17,rain,0,0,17.9,15,89.9,1014.4,56.7,6.2,58.2,5,2,10,2023-01-08T06:23:13,2023-01-08T17:41:26,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,C6CX3,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2023-01-09,29,22.1,25.7,30.8,22.1,26.3,20.1,71.7,0,0,0,,0,0,14.5,11.9,85.5,1013.9,61.8,5.9,91.8,7.9,5,10,2023-01-09T06:23:29,2023-01-09T17:42:01,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,98430099999,E0758,98433099999,98425099999"
quezon city,2023-01-10,29.7,22.1,26,31.4,22.1,26.6,20.5,72.3,0,0,0,,0,0,10.5,9.2,94,1012.3,74.9,5.7,96.5,8.4,4,10,2023-01-10T06:23:43,2023-01-10T17:42:36,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
