name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
quezon city,2022-01-01,30,23.2,26.4,31.3,23.2,26.9,19.3,65.9,0,0,0,,,,22.2,13.9,82,1015.9,69.8,5.7,155.4,13.5,8,,2022-01-01T06:21:02,2022-01-01T17:37:29,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
quezon city,2022-01-02,29,22.9,25.8,30.3,22.9,26.2,18.5,64.4,0,0,0,,,,22.4,12.8,91.7,1015.2,71.2,6.1,94.8,8.2,3,,2022-01-02T06:21:24,2022-01-02T17:38:04,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-03,30,21.4,26.2,31.1,21.4,26.6,18.8,64.5,0,0,0,,,,,17.6,94.4,1014.4,51.4,6.1,159.2,13.8,6,,2022-01-03T06:21:45,2022-01-03T17:38:39,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-04,31,22.9,26.3,33,22.9,26.7,19.4,66.9,0,0,0,,,,33.6,18.3,98.8,1014.3,61.3,6,156.7,13.5,7,,2022-01-04T06:22:05,2022-01-04T17:39:13,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-05,30.3,23.5,26.4,31.3,23.5,27.1,20,68.5,0,0,0,,,,,12.2,90.5,1014,56,6.6,166.3,14.4,7,,2022-01-05T06:22:24,2022-01-05T17:39:48,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-06,28.9,23.2,26.1,32.1,23.2,27,20.8,72.5,0,0,0,,,,,12.9,95.6,1013.4,82,6.3,73.7,6.4,3,,2022-01-06T06:22:43,2022-01-06T17:40:24,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,E0758,98433099999,98425099999"
quezon city,2022-01-07,31,22.3,26.4,33.7,22.3,27.3,20,68.6,0,0,0,,,,,14.6,116.8,1014,44.3,6.1,157.3,13.6,6,,2022-01-07T06:23:00,2022-01-07T17:40:59,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,E0758,98433099999,98425099999"
quezon city,2022-01-08,31,23.1,26.7,35.5,23.1,28.2,21.4,73.1,8.347,100,4.17,rain,,,156.6,10.9,97.6,1013.1,41.7,6.3,103,8.9,5,,2022-01-08T06:23:16,2022-01-08T17:41:34,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,E0758,98433099999,98425099999"
quezon city,2022-01-09,32,23,27.1,35.8,23,28.8,22.4,76.1,0,0,0,,,,,14.8,119.5,1012.3,42.8,6.1,158.3,13.7,6,,2022-01-09T06:23:32,2022-01-09T17:42:09,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,E0758,98433099999,98425099999"
quezon city,2022-01-10,32,22.8,27.1,35.8,22.8,28.9,22.7,77.8,0,0,0,rain,0,0,11.4,10.9,208.8,1012.1,43.3,6.3,146,12.6,6,10,2022-01-10T06:23:46,2022-01-10T17:42:44,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-11,31,24.8,27.4,33,24.8,28.4,20.9,68.6,0,0,0,,0,0,22.1,14,5.4,1012.8,43.3,6.4,176.9,15.3,6,10,2022-01-11T06:23:59,2022-01-11T17:43:19,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-12,30.8,22,25.8,32.8,22,26.4,19.9,70.4,0.014,100,4.17,rain,0,0,13.9,31.1,57.5,1014.2,66.1,6.3,165.5,14.3,7,10,2022-01-12T06:24:12,2022-01-12T17:43:54,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,E0758,98433099999,98425099999"
quezon city,2022-01-13,28,24,25.8,30.1,24,26.4,20.3,72.2,0,0,0,rain,0,0,15.4,10.7,84.7,1014.2,83.4,6.2,104.2,9.1,5,10,2022-01-13T06:24:23,2022-01-13T17:44:29,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-14,28,21.6,24.9,29.7,21.6,25.2,19.6,72.6,0.006,100,8.33,rain,0,0,16.1,15.1,96.2,1014.5,61.1,6.4,74.3,6.5,3,10,2022-01-14T06:24:33,2022-01-14T17:45:04,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-15,29,21.6,24.9,29.8,21.6,25.2,18,66.3,0,0,0,rain,0,0,20.6,12.8,71.3,1015,66.7,6.7,105.9,9.1,4,10,2022-01-15T06:24:42,2022-01-15T17:45:39,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-16,31,20.1,25.4,33.7,20.1,26,18.9,68.5,0,0,0,,0,0,24.2,22.7,120.7,1015,37.6,7.8,153.1,13.1,7,10,2022-01-16T06:24:50,2022-01-16T17:46:13,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-17,30,20.8,24.8,30.8,20.8,25.1,18.3,68,0,0,0,,0,0,15.2,20,98.6,1014.6,36.7,6.9,154.4,13.5,7,10,2022-01-17T06:24:56,2022-01-17T17:46:47,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,E0758,98433099999,98425099999"
quezon city,2022-01-18,29,20.3,24,29.8,20.3,24.2,17.4,67.6,0,0,0,,0,0,24.6,12.5,67.4,1013.7,47.8,7.7,120.9,10.4,6,10,2022-01-18T06:25:02,2022-01-18T17:47:21,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-19,29,21.5,25.1,31.4,21.5,25.6,19.9,73.2,0,0,0,,0,0,11.2,10.3,14.5,1012.3,80.3,7.6,116,10.1,4,10,2022-01-19T06:25:06,2022-01-19T17:47:54,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,E0758,98433099999,98425099999"
quezon city,2022-01-20,29.8,23.5,26.1,32,23.5,26.7,20.9,74,0.009,100,4.17,rain,0,0,13.2,14.6,111.3,1011.9,82.3,7.4,88.9,7.6,4,10,2022-01-20T06:25:10,2022-01-20T17:48:28,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-21,31,24.5,26.3,36.5,24.5,27.1,21.9,77,4.9,100,12.5,rain,0,0,9.4,12.2,109.6,1012.1,75,7,95.5,8.1,3,10,2022-01-21T06:25:12,2022-01-21T17:49:00,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-22,32,23.5,27.5,35.8,23.5,29.1,21.5,70.6,0,0,0,,0,0,10.3,12.8,102.8,1011.5,50.2,7,148.8,13,7,10,2022-01-22T06:25:13,2022-01-22T17:49:33,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-23,31,23.3,26.7,35.5,23.3,28.1,22.3,77.6,0,0,0,,0,0,9.8,13.9,75,1011.6,56,7.2,140.8,12.4,7,10,2022-01-23T06:25:13,2022-01-23T17:50:05,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2022-01-24,32,23.1,26.5,37.9,23.1,27.8,22,77.9,0.122,100,4.17,rain,0,0,10.3,14,11.8,1010.7,41.2,7.3,111.8,9.8,5,10,2022-01-24T06:25:11,2022-01-24T17:50:37,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,E0758,98433099999,98425099999"
