name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Quezon City,2016-01-01,29.9,24,26.3,34.1,24,27.9,23.5,85.3,2.384,100,25,rain,0,0,,20.3,63,1016.6,81.7,7.7,222.8,19.2,8,,2016-01-01T06:20:48,2016-01-01T17:37:10,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
Quezon City,2016-01-02,30.9,23.5,27.3,36.4,23.5,29.4,23.3,79.6,1.347,100,8.33,rain,0,0,,20.3,95.6,1016.1,50.5,9.4,224.9,19.7,8,,2016-01-02T06:21:10,2016-01-02T17:37:44,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
Quezon City,2016-01-03,32.5,23.6,27.8,35.8,23.6,29.2,22.2,74.2,0.002,100,4.17,rain,0,0,,18.4,92.9,1015.6,36.6,9.4,236.2,20.3,8,,2016-01-03T06:21:32,2016-01-03T17:38:19,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
Quezon City,2016-01-04,32.5,22.1,27.4,35.8,22.1,28.9,21,69.3,0,0,0,,0,0,,16.5,92.3,1015.3,32.4,9.3,237.4,20.6,8,,2016-01-04T06:21:53,2016-01-04T17:38:53,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
Quezon City,2016-01-05,31,22.4,27.1,33.8,22.4,28.2,21,71.1,0,0,0,,0,0,40.7,20.1,104.5,1015.1,32.2,9.4,244.3,20.9,9,,2016-01-05T06:22:12,2016-01-05T17:39:28,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
Quezon City,2016-01-06,30,20.4,26.5,34.1,20.4,28.1,21.3,73.6,0,0,0,,0,0,,12.9,68.3,1015.1,62,9.4,240.4,20.9,8,,2016-01-06T06:22:31,2016-01-06T17:40:03,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
Quezon City,2016-01-07,31.9,24.5,27.4,34.9,24.5,28.5,21.2,69.9,0,0,0,,0,0,,14.6,88.5,1015.2,83,9.4,226.8,19.7,8,,2016-01-07T06:22:49,2016-01-07T17:40:38,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
Quezon City,2016-01-08,31,22.8,27.2,34.6,22.8,29,21.6,72.3,0,0,0,,0,0,29.5,12.8,353.5,1014.7,56.6,9.3,216.2,18.8,8,,2016-01-08T06:23:06,2016-01-08T17:41:14,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
Quezon City,2016-01-09,30,23.7,27,33.4,23.7,28.5,22.4,76.7,0,0,0,,0,0,,16.4,28.9,1015,55.4,9.2,234.1,20.1,8,,2016-01-09T06:23:22,2016-01-09T17:41:49,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
Quezon City,2016-01-10,31,22.8,27.3,33.8,22.8,28.6,21.3,71.3,0,0,0,,0,0,37.1,20.2,108.9,1014.5,35.3,9.3,234,20.2,8,,2016-01-10T06:23:37,2016-01-10T17:42:24,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
