name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
quezon city,2021-01-01,28,23.2,25.9,29.7,23.2,26.5,19.9,69.8,0.835,100,4.17,rain,,,,12.2,35.8,1012.6,81.4,5.9,75.7,6.6,3,,2021-01-01T06:21:07,2021-01-01T17:37:37,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2021-01-02,29.8,22.9,26.4,33,22.9,27.6,21.1,73.3,4.635,100,4.17,rain,,,,11.9,36.3,1011.9,71.5,6,140.9,12.2,7,,2021-01-02T06:21:28,2021-01-02T17:38:12,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2021-01-03,27.9,23.3,25.3,30.5,23.3,25.5,22.6,85.6,42.365,100,16.67,rain,,,,11.9,32.6,1011.6,83.4,5.7,26.8,2.4,2,,2021-01-03T06:21:49,2021-01-03T17:38:47,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2021-01-04,31.1,23.2,27.1,36.6,23.2,29.2,23,79.6,0.328,100,8.33,rain,,,,15.7,34.5,1011.3,62,5.8,108.4,9.5,6,,2021-01-04T06:22:09,2021-01-04T17:39:21,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2021-01-05,29.1,23.1,26.4,33.7,23.1,27.9,22.8,81.4,1.387,100,25,rain,,,26.8,10.5,78.8,1011.5,63.9,6.1,82.4,7.1,5,,2021-01-05T06:22:28,2021-01-05T17:39:57,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2021-01-06,32.8,22.3,27.3,36.8,22.3,28.9,21.9,73.4,0,0,0,,,,24.6,12.3,81.6,1010.8,46,6.1,109.8,9.4,5,,2021-01-06T06:22:47,2021-01-06T17:40:32,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2021-01-07,30.1,22.8,26.2,35.1,22.8,27.7,22.3,79.5,0.032,100,16.67,rain,,,,9.5,77.2,1010.6,70,5.9,84.5,7.3,3,,2021-01-07T06:23:04,2021-01-07T17:41:07,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2021-01-08,30,22.4,26.6,33.3,22.4,27.8,21.9,76.2,0,0,0,,,,20.1,10.2,45.8,1010.4,76.6,6,86.7,7.5,4,,2021-01-08T06:23:20,2021-01-08T17:41:42,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,C6CX3,98428099999,98430099999,E0758,98425099999,RPLC,98327099999,98434099999,RPLL,C6BR3,98433099999"
quezon city,2021-01-09,30.1,23,26.5,32.7,23,27.2,20,67.8,0,0,0,,,,22.4,13.3,49.6,1011.4,78.2,5.9,119.6,10.3,6,,2021-01-09T06:23:35,2021-01-09T17:42:17,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,2021-01-10,28.8,23.3,26,33.8,23.3,26.6,19.5,67.7,0,0,0,,,,31.1,15.6,64.9,1012.3,80.3,6,109.8,9.4,5,,2021-01-10T06:23:49,2021-01-10T17:42:52,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2021-01-11,28.6,22.3,25.4,30,22.3,25.9,19.2,69,0,0,0,,,,26.8,17.9,82.6,1012.9,70,5.9,90.3,7.8,5,,2021-01-11T06:24:02,2021-01-11T17:43:27,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
