name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.65, 121.05",2021-01-01,28,23.1,26,29.7,23.1,26.6,19.9,69.4,0.9,100,4.17,rain,0,0,41.8,19,36.6,1012.6,81.4,9.4,75.1,6.6,3,,2021-01-01T06:21:04,2021-01-01T17:37:40,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2021-01-02,29.8,23,26.6,33,23,28,21.1,72.4,0,0,0,,0,0,41.4,18.8,36.6,1011.9,71.2,9.5,139.8,12.1,7,,2021-01-02T06:21:26,2021-01-02T17:38:14,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2021-01-03,28,23.4,25.3,30.6,23.4,25.5,22.7,85.8,43,100,12.5,rain,0,0,32.4,18.1,32.3,1011.6,83.3,9,26,2.3,2,,2021-01-03T06:21:47,2021-01-03T17:38:49,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"98432099999,98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2021-01-04,31.1,23.2,27.2,36.5,23.2,29.4,23,79.2,0,0,0,,0,0,36.7,24.6,35,1011.3,61.5,9.2,107.4,9.4,6,,2021-01-04T06:22:07,2021-01-04T17:39:24,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2021-01-05,29.1,24.1,26.6,33.7,24.1,28.4,22.9,80.4,1.4,100,16.67,rain,0,0,43.2,16.7,81.6,1011.5,63.7,9.7,81.1,7,5,,2021-01-05T06:22:26,2021-01-05T17:39:59,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2021-01-06,32.9,22.1,27.5,36.9,22.1,29.2,21.9,72.8,0,0,0,,0,0,39.6,19.7,82.5,1010.8,45.6,9.7,108.3,9.3,5,,2021-01-06T06:22:44,2021-01-06T17:40:34,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2021-01-07,30.1,22.7,26.5,35.1,22.7,28.1,22.3,78.1,0,0,0,,0,0,32,15.3,79.4,1010.5,69.7,9.5,83.1,7.2,3,,2021-01-07T06:23:01,2021-01-07T17:41:09,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2021-01-08,30,22.1,26.8,33.3,22.1,28.1,21.9,75.3,0,0,0,,0,0,39.2,15.9,48.4,1010.3,76.7,9.6,85.8,7.4,4,,2021-01-08T06:23:17,2021-01-08T17:41:44,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,C6CX3,98428099999,98430099999,E0758,98425099999,RPLC,98327099999,98434099999,RPLL,C6BR3,98433099999"
"14.65, 121.05",2021-01-09,30.2,24.2,26.7,32.8,24.2,27.4,20,67.1,0,0,0,,0,0,45,21.3,51.5,1011.3,78.5,9.5,118.7,10.2,6,,2021-01-09T06:23:32,2021-01-09T17:42:19,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2021-01-10,28.8,23.2,26,34.3,23.2,26.6,19.5,67.8,0,0,0,,0,0,50,25.5,66.4,1012.2,80.7,9.5,109.3,9.4,5,,2021-01-10T06:23:46,2021-01-10T17:42:55,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2021-01-11,28.6,22.2,25.4,30.1,22.2,25.8,19.2,69.3,0,0,0,,0,0,43.9,28,84.1,1012.8,69.6,9.4,89.4,7.7,5,,2021-01-11T06:23:59,2021-01-11T17:43:30,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2021-01-12,28.8,22.2,25.6,29.7,22.2,26,18.5,65.6,0,0,0,,0,0,24.8,21.5,10,1012.4,74.7,9.3,105.9,9,5,,2021-01-12T06:24:11,2021-01-12T17:44:05,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
