name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.65, 121.05",2015-01-01,26.5,21.1,23.4,26.5,21.1,23.4,21.2,88,6.2,100,12.5,rain,0,0,46.8,9.5,343.8,1012.7,90.3,7.7,68.2,5.9,3,,2015-01-01T06:20:51,2015-01-01T17:37:21,0.36,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-02,29.3,20.4,24.8,30.4,20.4,25.1,19,71.5,0,0,0,,0,0,53.3,27.5,81.4,1014.4,50.2,9.4,199,17.2,7,,2015-01-02T06:21:14,2015-01-02T17:37:55,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-03,29.9,20.6,24.9,32.2,20.6,25.5,20,75.2,0,0,0,,0,0,44.6,18.2,43.4,1014.4,39.9,9.3,191.8,16.7,7,,2015-01-03T06:21:35,2015-01-03T17:38:30,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-04,29.1,19.9,25.1,32.3,19.9,25.9,21.1,79.3,0,0,0,,0,0,27.4,14.7,29,1012.2,47,9.3,180.6,15.7,6,,2015-01-04T06:21:55,2015-01-04T17:39:05,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-05,30,21.9,26.1,33.3,21.9,27.4,22.1,79.9,0,0,0,,0,0,21.2,18.2,103.1,1011.7,51.6,9.3,165,14.4,7,,2015-01-05T06:22:15,2015-01-05T17:39:40,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-06,30,21.9,26.2,34.2,21.9,27.5,21.9,78.6,0,0,0,,0,0,12.2,22.1,111.6,1011.2,62,9.3,159,13.6,6,,2015-01-06T06:22:34,2015-01-06T17:40:15,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-07,28.6,20.7,25.4,32.3,20.7,26.2,21.2,78.1,0,0,0,,0,0,26.3,14.7,108.5,1011.9,61.2,9.3,165.4,14.4,7,,2015-01-07T06:22:51,2015-01-07T17:40:50,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-08,30,22.7,26.3,31.6,22.7,27,19.9,69.6,0,0,0,,0,0,49.7,31.4,70.1,1013.9,66,9.3,209.4,18.1,8,,2015-01-08T06:23:08,2015-01-08T17:41:25,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-09,28.9,21.1,24.6,30.2,21.1,25,20.3,78,0.9,100,8.33,rain,0,0,51.1,20.5,85.5,1014.7,76.7,9.1,180.1,15.5,7,,2015-01-09T06:23:24,2015-01-09T17:42:00,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-10,29,19.1,24.3,29.6,19.1,24.5,18.1,70.2,0,0,0,,0,0,48.6,24,85.8,1014.7,37.4,9.8,202.6,17.5,7,,2015-01-10T06:23:38,2015-01-10T17:42:35,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-11,29,18.9,24.5,30.2,18.9,24.9,18.7,71.8,0,0,0,,0,0,43.2,22.1,66.3,1014.1,50.6,9.3,184.2,16,7,,2015-01-11T06:23:52,2015-01-11T17:43:11,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-12,30.9,19.6,25.5,31.8,19.6,26,19.5,70.9,0,0,0,,0,0,41.8,22.1,78.2,1013.7,59.5,9.3,187.7,16.2,7,,2015-01-12T06:24:05,2015-01-12T17:43:46,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-13,29.6,19.2,25.7,32,19.2,26.6,20.2,72.7,0,0,0,,0,0,32,20.3,98.9,1013.4,60.7,9.3,175,14.9,7,,2015-01-13T06:24:16,2015-01-13T17:44:20,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-14,28.1,21.1,25.2,31.2,21.1,25.9,20.9,77.5,0,0,0,,0,0,19.4,14.7,34.2,1013.6,75,9.3,143.1,12.6,6,,2015-01-14T06:24:26,2015-01-14T17:44:55,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-15,30,20.2,25.7,33.4,20.2,26.7,21.1,77.2,0,0,0,,0,0,31.7,13,62.6,1013.4,50.1,9.3,186.9,16.2,7,,2015-01-15T06:24:36,2015-01-15T17:45:30,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-16,30.6,20.9,25.3,32.7,20.9,25.8,20.2,74.4,0,0,0,,0,0,38.9,14.8,70.6,1013,64.5,9.3,178.8,15.5,6,,2015-01-16T06:24:44,2015-01-16T17:46:04,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-17,28,20.4,24.8,29,20.4,25.1,18.6,69.3,0,0,0,,0,0,40.7,22.2,34.9,1012.8,73.7,9.3,174.5,15.1,7,,2015-01-17T06:24:51,2015-01-17T17:46:38,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-18,24,19.9,22.1,24,19.9,22.1,18.9,82.9,21,100,12.5,rain,0,0,51.5,20.3,346.8,1011.7,95.7,8.7,63,5.5,3,,2015-01-18T06:24:57,2015-01-18T17:47:12,0.92,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"98432099999,98429099999,RPLC,98428099999,98434099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-19,29.6,19.7,24.7,33.4,19.7,25.5,21.7,84.6,0,0,0,,0,0,20.2,16.4,256.1,1011.8,71.7,9.3,199.4,17.2,7,,2015-01-19T06:25:02,2015-01-19T17:47:46,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,RPLC,98428099999,98434099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-20,31,21.9,26.7,34.7,21.9,28.1,21.7,75.1,0,0,0,,0,0,15.5,11.2,124.3,1013.4,83.4,9.3,195.8,17,7,,2015-01-20T06:25:05,2015-01-20T17:48:19,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-21,31.3,22.6,26.8,35.8,22.6,28.5,22.8,79.9,0,0,0,,0,0,17.6,18.2,253.7,1013.9,60,9.3,176.7,15.3,7,,2015-01-21T06:25:08,2015-01-21T17:48:52,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-22,29.8,23.4,26.5,33.6,23.4,27.6,22,77.4,0,0,0,,0,0,23.8,22.2,344.2,1013.7,66.7,9.4,182.6,15.7,7,,2015-01-22T06:25:09,2015-01-22T17:49:25,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-23,28.9,21.9,25.3,29.8,21.9,25.7,19.8,72.6,0,0,0,,0,0,47.9,23.8,87.2,1013.8,70.4,9.4,164,14.2,7,,2015-01-23T06:25:10,2015-01-23T17:49:57,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-24,28.1,22.1,25,29.5,22.1,25.3,18.4,67.3,0,0,0,,0,0,42.5,20.4,105.8,1016,80.8,9.3,154.3,13.2,5,,2015-01-24T06:25:09,2015-01-24T17:50:29,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-25,30,19.7,25.1,32.5,19.7,25.6,19.4,71.6,0,0,0,,0,0,34.6,24.1,99.9,1015.9,50.7,9.3,220.7,19.2,8,,2015-01-25T06:25:07,2015-01-25T17:51:00,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-26,29,21.1,25.5,30.9,21.1,26.2,20,72.5,0,0,0,,0,0,42.5,20.3,108.4,1014.9,47.1,9.3,203.3,17.5,7,,2015-01-26T06:25:03,2015-01-26T17:51:31,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-27,29.1,18.7,25.2,32.7,18.7,26.1,20.9,78.3,0,0,0,,0,0,21.2,12.9,49.3,1012.6,61.9,9.3,228.8,19.7,9,,2015-01-27T06:24:59,2015-01-27T17:52:01,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,RPLC,98428099999,RPLL,98430099999,remote,98433099999,98425099999"
"14.65, 121.05",2015-01-28,31,22.6,26.7,35.2,22.6,28.2,21.6,74.1,0,0,0,,0,0,16.6,62.1,152.2,1011.9,65.1,9.3,176.3,15.4,6,,2015-01-28T06:24:54,2015-01-28T17:52:31,0.26,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-29,29.5,21.4,25.9,33.7,21.4,27.1,22.2,80.9,0,0,0,,0,0,25.6,14.7,101.2,1012.6,50.9,9.3,184.3,15.9,7,,2015-01-29T06:24:47,2015-01-29T17:53:01,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-30,29,20.7,25.5,31.3,20.7,26.3,20.8,76.3,0,0,0,,0,0,26.3,14.6,114.7,1013.7,64,9.3,164.5,14.3,7,,2015-01-30T06:24:39,2015-01-30T17:53:30,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-01-31,30,20.7,25.5,30.3,20.7,25.7,18.4,67.4,0,0,0,,0,0,46.4,27.5,75.7,1015.7,47.5,9.3,229,19.9,8,,2015-01-31T06:24:30,2015-01-31T17:53:58,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-01,29,21.2,25.1,29.8,21.2,25.5,18.7,68.4,1,100,8.33,rain,0,0,50,25.7,88.5,1016.4,73,9.3,209.3,18.2,8,,2015-02-01T06:24:20,2015-02-01T17:54:26,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-02,29.9,18.7,24.9,34,18.7,25.3,17.4,65.1,0,0,0,,0,0,51.5,23.9,80.4,1017.2,50.3,9.5,234.3,20.4,8,,2015-02-02T06:24:09,2015-02-02T17:54:54,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-03,29.9,18.7,25.1,30.1,18.7,25.3,17.7,65.1,0,0,0,,0,0,37.8,20.4,87.8,1017,55.6,9.3,193.2,16.6,7,,2015-02-03T06:23:57,2015-02-03T17:55:21,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-04,30,19.7,25.5,31.4,19.7,25.8,18.3,65.9,0,0,0,,0,0,28.8,18,82.2,1015.5,58.7,9.5,179.3,15.5,6,,2015-02-04T06:23:43,2015-02-04T17:55:47,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-05,30,20.1,25.5,33,20.1,26.1,18.7,67.2,0,0,0,,0,0,20.2,16.4,103.8,1014.7,54.3,9.4,208.3,17.9,8,,2015-02-05T06:23:29,2015-02-05T17:56:13,0.54,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-06,29.6,19.1,25.1,31.6,19.1,25.6,19.3,71.6,0,0,0,,0,0,22.7,16.5,308.5,1014.5,46.7,9.3,193.2,16.8,6,,2015-02-06T06:23:14,2015-02-06T17:56:38,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-07,31,21.6,26.2,32.3,21.6,26.9,20,70.2,0,0,0,,0,0,15.1,15.9,95.4,1013.6,51.8,9.3,194.1,17,7,,2015-02-07T06:22:57,2015-02-07T17:57:02,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-08,30.8,21.4,25.7,33.8,21.4,26.4,21.1,77.1,0,0,0,,0,0,16.6,18.2,279.7,1014,54.1,9.3,237.9,20.8,9,,2015-02-08T06:22:39,2015-02-08T17:57:27,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-09,30,19.7,25.6,33.6,19.7,26.4,20.4,74.2,0,0,0,,0,0,25.2,16.5,314,1014.1,52.7,9.5,229.6,19.9,8,,2015-02-09T06:22:21,2015-02-09T17:57:50,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-10,30,19.7,25.6,32.2,19.7,26.2,19.7,71.1,0,0,0,,0,0,37.8,14.7,112.7,1013,43.5,9.3,231.1,20.1,8,,2015-02-10T06:22:01,2015-02-10T17:58:13,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-11,29,21.6,25.3,31.3,21.6,26,21.2,78.7,0,0,0,,0,0,22,11.2,97.2,1012,61.1,9.1,185.2,16.1,7,,2015-02-11T06:21:40,2015-02-11T17:58:35,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-12,30.8,21.4,26.2,34.7,21.4,27.6,21.6,77,0,0,0,,0,0,40.7,18.4,284.6,1011.9,64.8,9.3,192,16.7,6,,2015-02-12T06:21:19,2015-02-12T17:58:57,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-13,29.1,23.6,26,31.1,23.6,26.6,21.1,74.9,0,0,0,,0,0,35.6,11.2,339.6,1011.9,88.7,9.2,172.1,14.7,7,,2015-02-13T06:20:56,2015-02-13T17:59:18,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-14,30.8,23.2,26.5,34.4,23.2,27.8,21.2,73.5,0.4,100,4.17,rain,0,0,31.7,25.9,87.1,1012.4,78.4,9.3,71.5,6.2,3,,2015-02-14T06:20:33,2015-02-14T17:59:39,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-15,30.9,23.4,26.6,34.8,23.4,28.1,22.7,80.2,0.2,100,4.17,rain,0,0,28.1,16.4,93.8,1013.7,87.1,9.3,123.1,10.7,4,,2015-02-15T06:20:08,2015-02-15T17:59:59,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-16,30.3,22.7,27.1,33,22.7,28.5,21.8,74,0,0,0,,0,0,38.9,22,111.7,1013.2,59.1,9.3,172.9,14.9,7,,2015-02-16T06:19:43,2015-02-16T18:00:18,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-17,31.8,20.7,27,33.7,20.7,27.7,19.5,65.1,0,0,0,,0,0,18.7,20.3,118.2,1012.2,38.3,9.3,244.9,21.1,8,,2015-02-17T06:19:17,2015-02-17T18:00:37,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2015-02-18,30,22.7,26.7,31.4,22.7,27.5,19.8,66.4,0,0,0,,0,0,29.2,23.9,118.3,1013,56.3,9.3,212,18.3,7,,2015-02-18T06:18:50,2015-02-18T18:00:55,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
