name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.6689,121.0277",2025-01-01,30,25.1,26.9,35.5,25.1,28.6,23.5,82.3,0.423,100,12.5,rain,0,0,33.5,18.4,107.5,1010.8,84.2,9,76.3,6.7,4,10,2025-01-01T06:21:14,2025-01-01T17:37:46,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-02,32,24.4,27.8,37.8,24.4,30.4,23.5,78,0,0,0,rain,0,0,24.1,12.7,62.6,1010.6,77.6,11.1,86.1,7.5,4,30,2025-01-02T06:21:36,2025-01-02T17:38:20,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-03,30.2,24.8,27.2,35.7,24.8,29.4,23.8,82,0.356,100,16.67,rain,0,0,21.6,14.6,68.9,1010.7,81.7,10.6,94.6,8.3,4,10,2025-01-03T06:21:57,2025-01-03T17:38:55,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-04,31,24.1,26.5,34.4,24.1,27.4,21.8,76.9,0.233,100,4.17,rain,0,0,32.4,19.6,59.8,1011.3,78.9,10.9,105.5,9.2,6,10,2025-01-04T06:22:17,2025-01-04T17:39:30,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-05,30,23.6,25.6,32.5,23.6,25.9,19.3,68.7,0,0,0,rain,0,0,46.8,23.7,33.2,1012.4,57.8,10.7,110,9.6,6,10,2025-01-05T06:22:36,2025-01-05T17:40:05,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,F0027,E0758,98433099999"
"14.6689,121.0277",2025-01-06,30.2,22.4,25.4,33.9,22.4,26,21,77.2,0,0,0,rain,0,0,22.7,16.1,333.1,1012.2,39.4,11,106.6,9.3,6,10,2025-01-06T06:22:54,2025-01-06T17:40:40,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-07,29.9,22.6,25.5,34,22.6,26.1,21.2,77.5,0.007,100,4.17,rain,0,0,33.8,15.7,356.9,1012.1,61.8,10.5,61.1,5.4,4,10,2025-01-07T06:23:11,2025-01-07T17:41:15,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-08,30.1,24.9,26.7,33,24.9,27.7,21.7,74.7,0,0,0,rain,0,0,36,21.8,69.4,1012,75.8,10.7,64,5.6,3,10,2025-01-08T06:23:27,2025-01-08T17:41:50,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-09,29.4,24.2,26.7,32.7,24.2,27.6,21.4,73.2,0,0,0,rain,0,0,37.1,23.5,95.9,1013.3,77.7,10.3,41.3,3.7,2,10,2025-01-09T06:23:42,2025-01-09T17:42:26,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-10,29.6,24.5,26.7,31.7,24.5,27.5,20.9,71.2,0,0,0,rain,0,0,61.2,20.1,70.9,1014.8,81.5,10.5,77,6.7,4,10,2025-01-10T06:23:56,2025-01-10T17:43:01,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
