name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.65, 121.05",2018-01-01,29,21.4,26.2,31.8,21.4,27.4,20.6,72.2,0,0,0,,0,0,33.1,22.1,49,1010.5,66.5,8.6,49.2,3.2,3,,2018-01-01T06:20:56,2018-01-01T17:37:29,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2018-01-02,29,22.9,26.6,35.1,22.9,27.6,20.8,71.5,0,0,0,,0,0,54,25.8,57.5,1010,85.9,9.3,73.4,4.9,4,,2018-01-02T06:21:18,2018-01-02T17:38:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2018-01-03,30,24.2,26.6,32,24.2,27.5,20.8,70.9,0,0,0,,0,0,43.2,24,46.9,1010.7,83.5,9.3,118.5,10.3,6,,2018-01-03T06:21:40,2018-01-03T17:38:38,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2018-01-04,31,23.4,27.2,34.5,23.4,28.9,22.7,77.7,0,0,0,,0,0,37.4,23.9,62.5,1011.2,65.1,9.3,153.9,13.1,6,,2018-01-04T06:22:00,2018-01-04T17:39:13,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2018-01-05,32.6,23.7,28,36.7,23.7,30.6,23.7,78.7,0,0,0,,0,0,22.7,22,55.4,1010.6,72.9,9.3,143.9,12.3,5,,2018-01-05T06:22:19,2018-01-05T17:39:48,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2018-01-06,33.1,25.4,28.5,35.2,25.4,31,22,68.7,0,0,0,,0,0,32.4,20.3,69.9,1010.9,73.2,9.3,154.9,13.4,6,,2018-01-06T06:22:38,2018-01-06T17:40:23,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2018-01-07,32,24.2,27.3,36.8,24.2,29.5,23.4,80.2,4,100,4.17,rain,0,0,23.8,11,13.5,1011.8,64.4,9,167.9,14.6,6,,2018-01-07T06:22:55,2018-01-07T17:40:58,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2018-01-08,32,23.7,27.7,37.9,23.7,30.6,24.5,84,18,100,4.17,rain,0,0,20.9,18.2,50.4,1011.9,48.9,9.3,171.3,14.7,6,,2018-01-08T06:23:11,2018-01-08T17:41:34,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2018-01-09,32,23.7,28.1,35.8,23.7,30.5,23.4,77.5,0,0,0,,0,0,21.2,18.2,53.7,1012.3,43.4,9.3,201.1,17.5,7,,2018-01-09T06:23:27,2018-01-09T17:42:09,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2018-01-10,31,23.2,27.6,35.5,23.2,30.1,23.6,79.7,0,0,0,,0,0,29.9,14.7,57.6,1012.5,52.9,9.3,184.2,15.7,7,,2018-01-10T06:23:41,2018-01-10T17:42:44,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
