name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.65, 121.05",2020-01-01,29.3,24.4,26.9,32.4,24.4,28.7,22.6,77.4,0,0,0,,0,0,54,13.5,6.2,1015.7,66.2,8.7,77.9,6.9,3,,2020-01-01T06:20:46,2020-01-01T17:37:13,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-02,31,24.7,27.6,35.5,24.7,29.2,21.9,72.1,0,0,0,,0,0,48.2,27.1,69.8,1016.1,51.8,9.2,93.2,8,4,,2020-01-02T06:21:09,2020-01-02T17:37:48,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-03,31.9,22.6,27.1,34.5,22.6,28.1,19.7,65.2,0,0,0,,0,0,48.2,27.5,67.3,1015,40.3,9.3,87.2,7.6,4,,2020-01-03T06:21:30,2020-01-03T17:38:22,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-04,31.3,21.4,26.8,34.4,21.4,28,20.3,68.5,0,0,0,,0,0,42.8,18,44.8,1013.3,41.9,9.5,95.2,8.2,4,,2020-01-04T06:21:51,2020-01-04T17:38:57,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,ZCBU6,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-05,31,23.2,27.2,33,23.2,28.2,21.1,70.9,0.4,100,4.17,rain,0,0,51.8,27.7,79.5,1013.6,52.9,9.4,103.5,8.8,4,,2020-01-05T06:22:11,2020-01-05T17:39:32,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,ZCBU6,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-06,31.9,25.1,28,34.8,25.1,29.3,20.5,64.5,0,0,0,,0,0,46.8,22.1,89.7,1013.6,47.3,9.4,84.6,7.2,3,,2020-01-06T06:22:30,2020-01-06T17:40:07,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-07,30.6,22.7,27.3,35.1,22.7,29.2,21.5,71,0,0,0,,0,0,36.8,18,82.4,1013.2,48.6,9.2,76.1,6.6,3,,2020-01-07T06:22:48,2020-01-07T17:40:42,0.38,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-08,31,23.9,26.9,35.4,23.9,28.6,22.5,77.5,2,100,4.17,rain,0,0,57.6,16.2,82.5,1012.3,62.4,9.2,79,6.8,4,,2020-01-08T06:23:05,2020-01-08T17:41:17,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98432099999,98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-09,31,23.1,27.1,34.5,23.1,28.3,20.9,69.9,0,0,0,,0,0,38.5,22.5,98.6,1012.3,44.6,9.4,69.7,5.9,4,,2020-01-09T06:23:20,2020-01-09T17:41:52,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-10,29.1,22.2,26.4,32.8,22.2,27.7,21.3,74.1,0,0,0,,0,0,31,22.3,15,1010.9,51.9,9.1,71.7,6.1,3,,2020-01-10T06:23:35,2020-01-10T17:42:28,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,C6CX3,98428099999,98430099999,E0758,98425099999,RPLC,98327099999,98434099999,RPLL,C6BR3,98433099999"
"14.65, 121.05",2020-01-11,31.1,23.2,27,35.9,23.2,28.5,21.3,72,0,0,0,,0,0,25.6,16.5,80.2,1010.9,43.4,9.2,77.8,6.8,4,,2020-01-11T06:23:49,2020-01-11T17:43:03,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-12,31,23.2,27,34.5,23.2,28.6,21.9,74.3,0,0,0,,0,0,16.2,14.3,19.7,1010.2,56.3,9.2,93.5,8.1,3,,2020-01-12T06:24:02,2020-01-12T17:43:38,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
