name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Makati,2022-01-01,86,75.3,79.8,88.4,75.3,80.7,67,65.7,0,0,0,,0,0,19.3,13.9,82.8,1015.8,69.5,6,155.4,13.5,8,,2022-01-01T06:20:52,2022-01-01T17:37:45,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-02,84.2,75.2,79,86.5,75.2,79.8,65.6,63.7,0,0,0,,0,0,22.4,16.3,88.9,1015.1,70.5,6.2,123.5,10.7,6,,2022-01-02T06:21:14,2022-01-02T17:38:20,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-03,86,75.1,79.9,87.5,75.1,80.6,65.8,63.1,0,0,0,,0,0,,16.5,88.2,1014.3,51.3,6.3,216.9,18.7,8,,2022-01-03T06:21:35,2022-01-03T17:38:55,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-04,87.8,75.2,80.2,91.4,75.2,81.3,67.8,66.7,0,0,0,,0,0,33.6,14.4,99.5,1014.2,61,6.3,212.6,18.3,8,,2022-01-04T06:21:56,2022-01-04T17:39:29,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-05,86.9,74.9,80.5,91.1,74.9,82.5,69.3,69.5,0,0,0,,0,0,,10.6,99.1,1013.6,57.7,6.4,221.8,19.3,8,,2022-01-05T06:22:15,2022-01-05T17:40:04,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-06,85.6,76.6,79.7,90.4,76.6,81.3,69.6,71.5,0,0,0,,0,0,,9.2,98.8,1013.4,82,6.3,149.7,12.9,7,,2022-01-06T06:22:34,2022-01-06T17:40:39,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-07,89,73.4,80.5,92.7,73.4,82.3,68.5,67.8,0,0,0,,0,0,,11.4,112.6,1013.8,39.9,6.3,223,19.2,8,,2022-01-07T06:22:51,2022-01-07T17:41:14,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-08,87.8,75.2,81,95.9,75.2,84.1,70.9,72,0.043,100,4.17,rain,0,0,156.6,14.4,95.1,1012.9,41.4,6.3,195.7,16.9,8,,2022-01-08T06:23:07,2022-01-08T17:41:50,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-09,89.6,77,81.6,96.4,77,84.9,72.6,75,0,0,0,,0,0,,8.5,134.9,1011.8,37,6.2,207.1,17.8,9,,2022-01-09T06:23:23,2022-01-09T17:42:25,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-10,89.6,75.2,81.1,96.4,75.2,85,73.2,77.6,0,0,0,rain,0,0,10.3,8.7,239.3,1011.8,38.6,6.2,171.8,14.8,7,10,2022-01-10T06:23:37,2022-01-10T17:43:00,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-11,87.8,77.2,81.9,93.2,77.2,83.8,69.8,67.8,0,0,0,rain,0,0,18.8,14.8,358.5,1012.6,43,6.3,213.3,18.6,8,10,2022-01-11T06:23:51,2022-01-11T17:43:35,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-12,85.2,71.5,78.8,89.6,71.5,79.9,68.2,70.6,0.001,100,4.17,rain,0,0,16.8,31.1,57.2,1014,65.2,6.1,195.1,17.1,9,10,2022-01-12T06:24:03,2022-01-12T17:44:10,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-13,83.7,75.2,79,87.8,75.2,80.3,69.4,72.9,0,0,0,rain,0,0,19,9.2,96.5,1014.2,85.4,6.3,124.6,11,5,10,2022-01-13T06:24:14,2022-01-13T17:44:44,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-14,82.4,73.4,77.8,85.4,73.4,78.5,67.7,71.6,0,0,0,rain,0,0,20.8,12.8,101.4,1014.5,62.9,6.3,141,12.4,7,10,2022-01-14T06:24:24,2022-01-14T17:45:19,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-15,84.2,72.8,78.1,85.7,72.8,78.5,65.7,66.6,0,0,0,rain,0,0,25.9,12.8,84.5,1014.9,66.4,6.4,145,12.6,6,10,2022-01-15T06:24:33,2022-01-15T17:45:54,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-16,87.8,71.9,78.7,92.7,71.9,80.2,67,67.9,0,0,0,,0,0,24.2,19.5,108,1015,39,7,231.3,20.2,8,10,2022-01-16T06:24:41,2022-01-16T17:46:28,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-17,87.1,69.8,78.3,88.6,69.8,78.8,65.6,66.2,0,0,0,,0,0,21.3,16.2,93.4,1014.6,33.1,6.6,208.7,18.1,8,10,2022-01-17T06:24:48,2022-01-17T17:47:02,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-18,84.6,71.4,77.3,85.7,71.4,77.7,65.1,67,0,0,0,,0,0,24.6,11.4,93.8,1013.4,44.6,6.7,194.5,17.1,7,10,2022-01-18T06:24:54,2022-01-18T17:47:35,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-19,84.2,74.2,78.9,88.4,74.2,80.3,68.5,70.8,0,0,0,,0,0,16.3,10.3,353.5,1011.7,82.8,6.8,138.6,12.2,5,10,2022-01-19T06:24:59,2022-01-19T17:48:09,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-20,85.3,76.1,79.9,89.6,76.1,81.3,70.7,74.3,0.009,100,4.17,rain,0,0,15.7,14.1,107.6,1011.3,81.7,6.6,178.5,15.6,6,10,2022-01-20T06:25:02,2022-01-20T17:48:42,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-21,87.8,76.9,80.2,97.8,76.9,82.7,71.9,76,0.073,100,12.5,rain,0,0,21.7,13.4,108.1,1011.7,74.8,6.5,173.9,15.1,6,10,2022-01-21T06:25:04,2022-01-21T17:49:15,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-22,89.6,76.3,82.3,96.4,76.3,85.6,71.6,70.8,0,0,0,,0,0,20.4,10.3,102.2,1011.3,48.3,6.7,233.8,20.3,8,10,2022-01-22T06:25:05,2022-01-22T17:49:47,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-23,88.4,77,82,96.7,77,85.7,72.9,74.5,0,0,0,,0,0,20.6,9.5,87.5,1011.3,50.8,6.6,227.3,19.7,8,10,2022-01-23T06:25:05,2022-01-23T17:50:19,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-24,89.6,76.1,81.7,100.3,76.1,85.4,72.3,73.8,0.04,100,4.17,rain,0,0,16.8,10.7,90.4,1010.3,39.5,6.9,181.8,15.9,7,10,2022-01-24T06:25:04,2022-01-24T17:50:51,0.7,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-25,88.9,74.5,81.7,94.2,74.5,83.9,69.2,67,0,0,0,,0,0,17.9,12.4,66.3,1010.3,34,6.9,243.7,21.2,9,10,2022-01-25T06:25:02,2022-01-25T17:51:22,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-26,84.8,58.9,78.8,93.4,58.9,80.7,72.4,79.2,0.375,100,8.33,rain,0,0,22.4,9.2,11.4,1010.6,77.5,6.6,99.9,8.8,5,10,2022-01-26T06:24:59,2022-01-26T17:51:52,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-27,89.1,71.5,82,98.6,71.5,87.2,75,78.8,0.334,100,8.33,rain,0,0,19.9,11.4,96.9,1010.9,49.3,6.6,219.4,18.8,8,10,2022-01-27T06:24:54,2022-01-27T17:52:23,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-28,89.9,77.8,83.4,99.5,77.8,89.1,73.9,73.6,0,0,0,,0,0,18.6,14.5,107.3,1011.2,52.4,6.9,217.8,18.9,9,10,2022-01-28T06:24:48,2022-01-28T17:52:52,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-29,89.6,76.2,82.4,98.2,76.2,87.3,74.4,77.8,0.004,100,4.17,rain,0,0,17,15.1,217.3,1010,39,6.9,205.6,17.8,8,30,2022-01-29T06:24:41,2022-01-29T17:53:22,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-30,87.8,76.3,81.5,99.9,76.3,85.8,75.3,82.1,0.059,100,4.17,rain,0,0,20.8,20.8,275.2,1010.6,40,6.5,217.5,18.8,9,30,2022-01-30T06:24:33,2022-01-30T17:53:50,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Makati,2022-01-31,90.3,77.8,82.5,95.7,77.8,85.5,71.9,71.7,0,0,0,rain,0,0,17.9,12.4,94.6,1012.1,45.1,6.7,251,22,9,10,2022-01-31T06:24:24,2022-01-31T17:54:18,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
