name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.65, 121.05",2016-01-01,30,24,26.3,34.1,24,27.9,23.5,85.2,2.2,100,8.33,rain,0,0,41.8,20.4,64,1016,81.7,7.7,154.7,12.8,6,,2016-01-01T06:20:45,2016-01-01T17:37:12,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2016-01-02,31,23.4,27.3,36.5,23.4,29.4,23.3,79.6,1.4,100,8.33,rain,0,0,36.7,20.3,96.6,1015.8,50.6,9.3,176.6,15.2,7,,2016-01-02T06:21:08,2016-01-02T17:37:46,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2016-01-03,32.6,23.6,27.8,35.8,23.6,29.2,22.2,74.1,0,0,0,,0,0,27.7,18.4,92.8,1015.6,36.5,9.3,198.1,17,7,,2016-01-03T06:21:29,2016-01-03T17:38:21,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2016-01-04,32.6,21.9,27.4,35.8,21.9,28.9,21,69.2,0,0,0,,0,0,20.2,16.5,92.4,1015.8,32.6,9.2,197.5,17.1,8,,2016-01-04T06:21:50,2016-01-04T17:38:56,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2016-01-05,31,22.2,27.1,33.8,22.2,28.1,21,70.9,0,0,0,,0,0,40.7,20.2,105.1,1015,32.2,9.3,209.4,18.2,7,,2016-01-05T06:22:10,2016-01-05T17:39:30,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2016-01-06,30,20.1,26.5,34.1,20.1,28.1,21.3,73.6,0,0,0,,0,0,15.8,12.9,70.9,1014.9,61.9,9.3,164.5,14.2,6,,2016-01-06T06:22:29,2016-01-06T17:40:06,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2016-01-07,32,24.4,27.4,34.9,24.4,28.4,21.1,69.8,0,0,0,,0,0,22.7,14.7,91.9,1014.9,83,9.3,189,16.4,7,,2016-01-07T06:22:46,2016-01-07T17:40:41,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2016-01-08,31,22.7,27.3,34.6,22.7,29,21.6,72.2,0,0,0,,0,0,29.5,12.8,353.7,1014.5,56,9.2,184.9,16,7,,2016-01-08T06:23:03,2016-01-08T17:41:16,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2016-01-09,30,23.7,27,33.3,23.7,28.6,22.4,76.6,0,0,0,,0,0,19.1,16.4,29.3,1014.7,55.4,9.1,182,15.9,6,,2016-01-09T06:23:19,2016-01-09T17:41:51,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
"14.65, 121.05",2016-01-10,31,22.7,27.3,33.8,22.7,28.6,21.3,71.3,0,0,0,,0,0,37.1,20.3,110.4,1014.4,35,9.2,185.8,16.1,6,,2016-01-10T06:23:34,2016-01-10T17:42:26,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98428099999,RPLL,98430099999,98433099999,98425099999"
