,Layers,Units,Activation,Optimizer,Learning Rate,Accuracy
0,1,128,relu,SGD,0.0001,0
1,1,128,relu,SGD,0.001,0
2,1,128,relu,SGD,0.01,0
3,1,128,relu,SGD,0.1,0
4,1,128,relu,SGD,1.0,0
5,1,128,relu,RMSprop,0.0001,0
6,1,128,relu,RMSprop,0.001,0
7,1,128,relu,RMSprop,0.01,0
8,1,128,relu,RMSprop,0.1,0
9,1,128,relu,RMSprop,1.0,0
10,1,128,relu,Adam,0.0001,0
11,1,128,relu,Adam,0.001,0
12,1,128,relu,Adam,0.01,0
13,1,128,relu,Adam,0.1,0
14,1,128,relu,Adam,1.0,0
15,1,128,relu,Adadelta,0.0001,0
16,1,128,relu,Adadelta,0.001,0
17,1,128,relu,Adadelta,0.01,0
18,1,128,relu,Adadelta,0.1,0
19,1,128,relu,Adadelta,1.0,0
20,1,128,relu,Adamax,0.0001,0
21,1,128,relu,Adamax,0.001,0
22,1,128,relu,Adamax,0.01,0
23,1,128,relu,Adamax,0.1,0
24,1,128,relu,Adamax,1.0,0
25,1,128,relu,Adagrad,0.0001,0
26,1,128,relu,Adagrad,0.001,0
27,1,128,relu,Adagrad,0.01,0
28,1,128,relu,Adagrad,0.1,0
29,1,128,relu,Adagrad,1.0,0
30,1,128,relu,Nadam,0.0001,0
31,1,128,relu,Nadam,0.001,0
32,1,128,relu,Nadam,0.01,0
33,1,128,relu,Nadam,0.1,0
34,1,128,relu,Nadam,1.0,0
35,1,128,relu,Ftrl,0.0001,0
36,1,128,relu,Ftrl,0.001,0
37,1,128,relu,Ftrl,0.01,0
38,1,128,relu,Ftrl,0.1,0
39,1,128,relu,Ftrl,1.0,0
40,1,128,sigmoid,SGD,0.0001,0
41,1,128,sigmoid,SGD,0.001,0
42,1,128,sigmoid,SGD,0.01,0
43,1,128,sigmoid,SGD,0.1,0
44,1,128,sigmoid,SGD,1.0,0
45,1,128,sigmoid,RMSprop,0.0001,0
46,1,128,sigmoid,RMSprop,0.001,0
47,1,128,sigmoid,RMSprop,0.01,0
48,1,128,sigmoid,RMSprop,0.1,0
49,1,128,sigmoid,RMSprop,1.0,0
50,1,128,sigmoid,Adam,0.0001,0
51,1,128,sigmoid,Adam,0.001,0
52,1,128,sigmoid,Adam,0.01,0
53,1,128,sigmoid,Adam,0.1,0
54,1,128,sigmoid,Adam,1.0,0
55,1,128,sigmoid,Adadelta,0.0001,0
56,1,128,sigmoid,Adadelta,0.001,0
57,1,128,sigmoid,Adadelta,0.01,0
