Layers,Units,Activation,Optimizer,Learning Rate,Accuracy,Val Accuracy
2,256,softsign,nadam,0.001,0.847240031,0.830769241
2,896,tanh,adamax,0.001,0.845956326,0.830769241
2,256,softsign,adamax,0.001,0.845956326,0.820512831
2,384,tanh,nadam,0.001,0.845956326,0.820512831
2,768,elu,nadam,0.001,0.845956326,0.820512831
2,640,softsign,nadam,0.0001,0.845956326,0.810256422
2,896,softsign,nadam,0.0001,0.84467268,0.835897446
2,640,softsign,adamax,0.001,0.84467268,0.830769241
2,128,softsign,nadam,0.001,0.84467268,0.825641036
2,384,softsign,adamax,0.001,0.84467268,0.820512831
2,512,softsign,adam,0.0001,0.84467268,0.820512831
1,256,softsign,adamax,0.001,0.84467268,0.805128217
2,256,softsign,adam,0.001,0.843388975,0.825641036
2,768,softsign,nadam,0.0001,0.843388975,0.825641036
2,768,selu,adamax,0.001,0.843388975,0.825641036
2,384,softsign,adam,0.0001,0.843388975,0.815384626
2,512,tanh,adam,0.0001,0.843388975,0.815384626
2,640,relu,nadam,0.0001,0.843388975,0.815384626
2,768,softsign,adamax,0.001,0.843388975,0.815384626
2,384,softsign,nadam,0.0001,0.843388975,0.810256422
2,256,softsign,nadam,0.0001,0.843388975,0.805128217
2,128,softsign,adamax,0.001,0.843388975,0.800000012
2,256,softsign,adadelta,0.1,0.843388975,0.800000012
2,256,tanh,nadam,0.001,0.842105269,0.830769241
2,128,selu,adamax,0.001,0.842105269,0.825641036
2,128,selu,nadam,0.001,0.842105269,0.825641036
2,384,tanh,adamax,0.001,0.842105269,0.825641036
2,512,elu,adamax,0.001,0.842105269,0.825641036
2,768,softsign,adam,0.0001,0.842105269,0.825641036
2,768,tanh,adam,0.0001,0.842105269,0.825641036
1,896,tanh,nadam,0.001,0.842105269,0.820512831
2,640,elu,nadam,0.001,0.842105269,0.820512831
2,896,tanh,adam,0.0001,0.842105269,0.820512831
2,128,sigmoid,nadam,0.001,0.842105269,0.815384626
2,128,tanh,nadam,0.001,0.842105269,0.815384626
2,128,selu,nadam,0.0001,0.842105269,0.815384626
2,384,tanh,nadam,0.0001,0.842105269,0.815384626
2,640,tanh,adamax,0.0001,0.842105269,0.815384626
2,512,softsign,nadam,0.0001,0.842105269,0.810256422
1,1024,elu,adam,0.001,0.842105269,0.805128217
2,128,selu,adam,0.0001,0.842105269,0.805128217
1,1024,selu,nadam,0.001,0.842105269,0.800000012
2,512,softplus,adam,0.0001,0.842105269,0.800000012
2,768,softsign,adamax,0.0001,0.842105269,0.794871807
2,384,selu,nadam,0.0001,0.840821564,0.835897446
2,512,softsign,adamax,0.001,0.840821564,0.835897446
2,896,tanh,nadam,0.0001,0.840821564,0.835897446
2,640,tanh,adam,0.0001,0.840821564,0.830769241
2,768,tanh,adamax,0.001,0.840821564,0.830769241
2,768,tanh,nadam,0.0001,0.840821564,0.830769241
1,256,tanh,nadam,0.001,0.840821564,0.820512831
2,256,tanh,adam,0.0001,0.840821564,0.820512831
2,384,tanh,adam,0.0001,0.840821564,0.815384626
2,384,tanh,adam,0.001,0.840821564,0.815384626
2,256,tanh,nadam,0.0001,0.840821564,0.810256422
2,384,softsign,rmsprop,0.0001,0.840821564,0.810256422
2,384,softsign,adagrad,0.01,0.840821564,0.805128217
2,640,relu,adam,0.0001,0.840821564,0.800000012
2,128,softsign,adam,0.001,0.839537859,0.825641036
2,512,tanh,nadam,0.0001,0.839537859,0.825641036
2,512,selu,adam,0.0001,0.839537859,0.825641036
2,640,tanh,nadam,0.0001,0.839537859,0.825641036
2,256,tanh,adamax,0.001,0.839537859,0.820512831
2,384,tanh,adadelta,0.1,0.839537859,0.820512831
2,640,selu,adamax,0.0001,0.839537859,0.820512831
2,512,softsign,rmsprop,0.0001,0.839537859,0.815384626
2,896,softsign,adam,0.0001,0.839537859,0.815384626
1,384,softsign,adam,0.001,0.839537859,0.810256422
1,640,softsign,nadam,0.001,0.839537859,0.810256422
2,128,relu,nadam,0.001,0.839537859,0.810256422
2,256,tanh,adam,0.001,0.839537859,0.810256422
2,256,tanh,adadelta,0.1,0.839537859,0.810256422
2,1024,relu,nadam,0.001,0.839537859,0.810256422
2,1024,sigmoid,adamax,0.001,0.839537859,0.810256422
1,384,tanh,adamax,0.001,0.839537859,0.805128217
2,768,elu,adamax,0.0001,0.839537859,0.805128217
1,896,selu,adam,0.0001,0.839537859,0.800000012
1,1024,softsign,rmsprop,0.0001,0.839537859,0.789743602
2,256,selu,nadam,0.0001,0.838254154,0.835897446
2,384,elu,adam,0.0001,0.838254154,0.830769241
1,384,tanh,nadam,0.001,0.838254154,0.825641036
1,512,tanh,nadam,0.001,0.838254154,0.825641036
2,128,tanh,adam,0.001,0.838254154,0.825641036
2,896,selu,nadam,0.0001,0.838254154,0.825641036
2,384,softsign,nadam,0.001,0.838254154,0.820512831
2,640,softsign,nadam,0.001,0.838254154,0.820512831
2,768,selu,nadam,0.001,0.838254154,0.820512831
2,896,softsign,adamax,0.001,0.838254154,0.820512831
2,896,tanh,adamax,0.0001,0.838254154,0.820512831
2,256,relu,adam,0.001,0.838254154,0.815384626
2,256,elu,adagrad,0.01,0.838254154,0.815384626
2,384,softsign,adadelta,0.1,0.838254154,0.815384626
2,512,elu,adagrad,0.01,0.838254154,0.815384626
2,768,elu,nadam,0.0001,0.838254154,0.815384626
2,128,softplus,nadam,0.01,0.838254154,0.810256422
2,768,relu,nadam,0.0001,0.838254154,0.810256422
2,768,tanh,adadelta,0.1,0.838254154,0.810256422
2,896,elu,adamax,0.001,0.838254154,0.810256422
1,640,tanh,adamax,0.001,0.838254154,0.805128217
1,1024,softsign,adamax,0.001,0.838254154,0.805128217
2,384,selu,adamax,0.0001,0.838254154,0.805128217
2,512,relu,adam,0.0001,0.838254154,0.805128217
2,512,relu,adagrad,0.01,0.838254154,0.805128217
1,512,selu,nadam,0.0001,0.838254154,0.800000012
2,128,selu,adagrad,0.01,0.838254154,0.800000012
2,768,relu,adagrad,0.01,0.838254154,0.800000012
1,256,tanh,adagrad,0.01,0.838254154,0.794871807
2,256,selu,nadam,0.001,0.836970448,0.841025651
2,256,selu,adam,0.0001,0.836970448,0.830769241
2,640,softsign,adam,0.0001,0.836970448,0.830769241
2,640,selu,nadam,0.0001,0.836970448,0.830769241
2,896,selu,adam,0.0001,0.836970448,0.830769241
2,640,softsign,rmsprop,0.0001,0.836970448,0.825641036
2,256,softplus,nadam,0.001,0.836970448,0.820512831
2,256,elu,adam,0.001,0.836970448,0.820512831
2,384,softplus,nadam,0.001,0.836970448,0.820512831
2,512,softsign,adadelta,0.1,0.836970448,0.820512831
2,512,elu,nadam,0.001,0.836970448,0.820512831
2,768,softsign,adam,0.001,0.836970448,0.820512831
2,896,softsign,rmsprop,0.0001,0.836970448,0.820512831
2,256,softsign,rmsprop,0.0001,0.836970448,0.815384626
2,640,relu,adam,0.001,0.836970448,0.815384626
2,896,softplus,adam,0.0001,0.836970448,0.815384626
2,896,tanh,adadelta,0.1,0.836970448,0.815384626
1,256,selu,adam,0.001,0.836970448,0.810256422
2,256,selu,adagrad,0.01,0.836970448,0.810256422
2,512,softplus,nadam,0.0001,0.836970448,0.810256422
2,512,softplus,nadam,0.001,0.836970448,0.810256422
2,768,softsign,adadelta,0.1,0.836970448,0.810256422
2,768,selu,adam,0.001,0.836970448,0.810256422
2,1024,relu,nadam,0.01,0.836970448,0.810256422
2,1024,sigmoid,nadam,0.001,0.836970448,0.810256422
1,256,selu,nadam,0.001,0.836970448,0.805128217
2,128,softsign,adagrad,0.01,0.836970448,0.805128217
2,128,selu,adagrad,0.001,0.836970448,0.805128217
2,512,softsign,adagrad,0.01,0.836970448,0.805128217
2,896,selu,adamax,0.0001,0.836970448,0.805128217
1,384,softsign,adamax,0.001,0.836970448,0.800000012
1,512,elu,nadam,0.0001,0.836970448,0.800000012
2,512,selu,adamax,0.001,0.836970448,0.800000012
1,768,selu,nadam,0.0001,0.836970448,0.794871807
1,1024,selu,ftrl,0.01,0.836970448,0.794871807
1,512,tanh,rmsprop,0.0001,0.836970448,0.789743602
1,512,softsign,adam,0.0001,0.836970448,0.784615397
2,384,elu,nadam,0.001,0.835686803,0.830769241
2,512,selu,nadam,0.001,0.835686803,0.830769241
2,640,elu,adam,0.001,0.835686803,0.830769241
2,768,tanh,nadam,0.001,0.835686803,0.830769241
1,896,softsign,nadam,0.001,0.835686803,0.825641036
2,256,elu,nadam,0.001,0.835686803,0.825641036
2,512,tanh,nadam,0.001,0.835686803,0.825641036
2,768,elu,adam,0.0001,0.835686803,0.825641036
1,768,softsign,nadam,0.001,0.835686803,0.820512831
2,128,tanh,adamax,0.001,0.835686803,0.820512831
2,640,softplus,nadam,0.0001,0.835686803,0.820512831
2,640,selu,adamax,0.001,0.835686803,0.820512831
2,768,softplus,nadam,0.001,0.835686803,0.820512831
2,768,selu,adam,0.0001,0.835686803,0.820512831
2,896,elu,adam,0.0001,0.835686803,0.820512831
2,896,selu,adamax,0.001,0.835686803,0.820512831
1,384,softsign,nadam,0.001,0.835686803,0.815384626
2,128,sigmoid,nadam,0.01,0.835686803,0.815384626
2,128,softsign,adadelta,0.1,0.835686803,0.815384626
2,256,relu,nadam,0.001,0.835686803,0.815384626
2,512,elu,adamax,0.0001,0.835686803,0.815384626
2,640,elu,adam,0.0001,0.835686803,0.815384626
2,768,selu,adamax,0.0001,0.835686803,0.815384626
2,256,softsign,adam,0.0001,0.835686803,0.810256422
2,384,tanh,adagrad,0.01,0.835686803,0.810256422
2,384,selu,adam,0.001,0.835686803,0.810256422
1,512,tanh,adam,0.001,0.835686803,0.805128217
2,128,selu,ftrl,0.01,0.835686803,0.805128217
2,256,tanh,rmsprop,0.0001,0.835686803,0.805128217
2,256,elu,adamax,0.001,0.835686803,0.805128217
2,256,selu,adamax,0.0001,0.835686803,0.805128217
2,512,tanh,adamax,0.0001,0.835686803,0.805128217
2,640,selu,adagrad,0.001,0.835686803,0.805128217
1,384,elu,adamax,0.001,0.835686803,0.800000012
2,1024,softplus,adamax,0.0001,0.835686803,0.800000012
2,1024,softplus,adagrad,0.01,0.835686803,0.800000012
1,256,tanh,adamax,0.001,0.835686803,0.789743602
2,384,tanh,adamax,0.0001,0.835686803,0.789743602
2,640,relu,adamax,0.0001,0.835686803,0.789743602
2,640,softsign,adamax,0.0001,0.835686803,0.789743602
2,512,selu,nadam,0.0001,0.834403098,0.841025651
1,128,tanh,nadam,0.001,0.834403098,0.830769241
2,896,elu,nadam,0.001,0.834403098,0.830769241
2,128,elu,nadam,0.001,0.834403098,0.825641036
2,384,softsign,adam,0.001,0.834403098,0.825641036
1,384,selu,nadam,0.001,0.834403098,0.820512831
2,512,tanh,adadelta,0.1,0.834403098,0.820512831
2,640,tanh,adadelta,0.1,0.834403098,0.820512831
2,640,selu,adam,0.0001,0.834403098,0.820512831
