,Inputs,Outputs,Output Class,Inputs 0,Inputs 1,Inputs 2,Inputs 3,Inputs 4
0,"[3, 10, 3, 5, 9]",4.5,8,3,10,3,5,9
1,"[9, 6, 7, 1, 3]",1.5,2,9,6,7,1,3
2,"[8, 2, 2, 2, 10]",5.0,10,8,2,2,2,10
3,"[1, 7, 5, 3, 3]",1.5,2,1,7,5,3,3
4,"[1, 6, 9, 4, 4]",2.0,3,1,6,9,4,4
5,"[6, 2, 2, 6, 1]",0.5,0,6,2,2,6,1
6,"[7, 7, 5, 5, 5]",2.5,4,7,7,5,5,5
7,"[5, 3, 10, 5, 1]",0.5,0,5,3,10,5,1
8,"[10, 3, 9, 4, 4]",2.0,3,10,3,9,4,4
9,"[8, 6, 10, 9, 3]",1.5,2,8,6,10,9,3
10,"[6, 10, 9, 1, 8]",4.0,7,6,10,9,1,8
11,"[10, 4, 9, 10, 1]",0.5,0,10,4,9,10,1
12,"[8, 6, 5, 10, 6]",3.0,5,8,6,5,10,6
13,"[5, 4, 9, 5, 10]",5.0,10,5,4,9,5,10
14,"[1, 3, 9, 9, 5]",2.5,4,1,3,9,9,5
15,"[10, 5, 9, 4, 4]",2.0,3,10,5,9,4,4
16,"[4, 2, 4, 5, 8]",4.0,7,4,2,4,5,8
17,"[3, 6, 7, 8, 10]",5.0,10,3,6,7,8,10
18,"[8, 10, 1, 9, 7]",3.5,6,8,10,1,9,7
19,"[8, 9, 5, 7, 8]",4.0,7,8,9,5,7,8
20,"[8, 2, 10, 4, 8]",4.0,7,8,2,10,4,8
21,"[7, 1, 6, 9, 9]",4.5,8,7,1,6,9,9
22,"[9, 5, 2, 3, 9]",4.5,8,9,5,2,3,9
23,"[9, 4, 10, 10, 1]",0.5,0,9,4,10,10,1
24,"[5, 6, 3, 1, 6]",3.0,5,5,6,3,1,6
25,"[7, 6, 8, 9, 3]",1.5,2,7,6,8,9,3
26,"[4, 2, 2, 8, 2]",1.0,1,4,2,2,8,2
27,"[1, 8, 4, 3, 7]",3.5,6,1,8,4,3,7
28,"[8, 10, 6, 9, 10]",5.0,10,8,10,6,9,10
29,"[5, 3, 3, 5, 10]",5.0,10,5,3,3,5,10
30,"[6, 1, 2, 6, 8]",4.0,7,6,1,2,6,8
31,"[8, 4, 7, 5, 1]",0.5,0,8,4,7,5,1
32,"[5, 1, 8, 3, 4]",2.0,3,5,1,8,3,4
33,"[9, 7, 8, 1, 10]",5.0,10,9,7,8,1,10
34,"[2, 5, 1, 9, 8]",4.0,7,2,5,1,9,8
35,"[3, 5, 7, 3, 2]",1.0,1,3,5,7,3,2
36,"[4, 1, 3, 3, 10]",5.0,10,4,1,3,3,10
37,"[1, 3, 10, 10, 7]",3.5,6,1,3,10,10,7
38,"[2, 2, 2, 3, 10]",5.0,10,2,2,2,3,10
39,"[2, 5, 9, 7, 1]",0.5,0,2,5,9,7,1
40,"[10, 10, 5, 10, 9]",4.5,8,10,10,5,10,9
41,"[5, 3, 5, 8, 2]",1.0,1,5,3,5,8,2
42,"[2, 8, 9, 6, 4]",2.0,3,2,8,9,6,4
43,"[3, 3, 10, 7, 3]",1.5,2,3,3,10,7,3
44,"[3, 4, 2, 2, 10]",5.0,10,3,4,2,2,10
45,"[3, 10, 6, 5, 8]",4.0,7,3,10,6,5,8
46,"[10, 4, 6, 1, 4]",2.0,3,10,4,6,1,4
47,"[9, 3, 7, 4, 4]",2.0,3,9,3,7,4,4
48,"[10, 3, 6, 6, 8]",4.0,7,10,3,6,6,8
49,"[7, 4, 2, 6, 9]",4.5,8,7,4,2,6,9
50,"[3, 9, 8, 6, 10]",5.0,10,3,9,8,6,10
51,"[9, 5, 7, 6, 2]",1.0,1,9,5,7,6,2
52,"[2, 8, 2, 3, 10]",5.0,10,2,8,2,3,10
53,"[7, 3, 6, 7, 10]",5.0,10,7,3,6,7,10
54,"[3, 9, 5, 8, 6]",3.0,5,3,9,5,8,6
55,"[8, 2, 5, 5, 9]",4.5,8,8,2,5,5,9
56,"[1, 2, 4, 2, 1]",0.5,0,1,2,4,2,1
57,"[5, 2, 2, 1, 7]",3.5,6,5,2,2,1,7
58,"[8, 4, 3, 4, 5]",2.5,4,8,4,3,4,5
59,"[6, 6, 1, 3, 2]",1.0,1,6,6,1,3,2
60,"[7, 2, 8, 1, 5]",2.5,4,7,2,8,1,5
61,"[4, 3, 9, 1, 6]",3.0,5,4,3,9,1,6
62,"[5, 10, 8, 7, 8]",4.0,7,5,10,8,7,8
63,"[10, 9, 7, 10, 7]",3.5,6,10,9,7,10,7
64,"[9, 9, 1, 9, 4]",2.0,3,9,9,1,9,4
65,"[5, 9, 9, 4, 2]",1.0,1,5,9,9,4,2
66,"[8, 9, 6, 7, 1]",0.5,0,8,9,6,7,1
67,"[6, 3, 9, 9, 1]",0.5,0,6,3,9,9,1
68,"[4, 5, 8, 7, 9]",4.5,8,4,5,8,7,9
69,"[5, 6, 9, 3, 1]",0.5,0,5,6,9,3,1
70,"[4, 4, 4, 10, 2]",1.0,1,4,4,4,10,2
71,"[9, 9, 3, 2, 7]",3.5,6,9,9,3,2,7
72,"[6, 1, 5, 10, 6]",3.0,5,6,1,5,10,6
73,"[7, 1, 9, 2, 2]",1.0,1,7,1,9,2,2
74,"[3, 3, 2, 5, 7]",3.5,6,3,3,2,5,7
75,"[8, 4, 3, 3, 8]",4.0,7,8,4,3,3,8
76,"[6, 6, 1, 4, 6]",3.0,5,6,6,1,4,6
77,"[7, 7, 4, 6, 4]",2.0,3,7,7,4,6,4
78,"[4, 4, 5, 2, 5]",2.5,4,4,4,5,2,5
79,"[9, 3, 4, 6, 1]",0.5,0,9,3,4,6,1
80,"[4, 3, 6, 9, 6]",3.0,5,4,3,6,9,6
81,"[5, 5, 9, 6, 3]",1.5,2,5,5,9,6,3
82,"[2, 3, 5, 2, 3]",1.5,2,2,3,5,2,3
83,"[4, 2, 8, 3, 6]",3.0,5,4,2,8,3,6
84,"[9, 9, 4, 8, 8]",4.0,7,9,9,4,8,8
85,"[3, 5, 1, 10, 10]",5.0,10,3,5,1,10,10
86,"[1, 9, 2, 7, 1]",0.5,0,1,9,2,7,1
87,"[8, 3, 9, 10, 2]",1.0,1,8,3,9,10,2
88,"[5, 5, 10, 2, 10]",5.0,10,5,5,10,2,10
89,"[5, 10, 10, 4, 4]",2.0,3,5,10,10,4,4
90,"[5, 3, 4, 6, 1]",0.5,0,5,3,4,6,1
91,"[8, 5, 1, 8, 7]",3.5,6,8,5,1,8,7
92,"[6, 3, 1, 3, 6]",3.0,5,6,3,1,3,6
93,"[1, 5, 3, 5, 6]",3.0,5,1,5,3,5,6
94,"[1, 1, 4, 7, 7]",3.5,6,1,1,4,7,7
95,"[4, 4, 8, 10, 3]",1.5,2,4,4,8,10,3
96,"[8, 10, 1, 4, 4]",2.0,3,8,10,1,4,4
97,"[6, 8, 5, 1, 10]",5.0,10,6,8,5,1,10
98,"[5, 9, 8, 3, 1]",0.5,0,5,9,8,3,1
99,"[1, 7, 9, 6, 1]",0.5,0,1,7,9,6,1
100,"[4, 4, 6, 9, 7]",3.5,6,4,4,6,9,7
101,"[6, 2, 9, 10, 6]",3.0,5,6,2,9,10,6
102,"[6, 5, 1, 6, 8]",4.0,7,6,5,1,6,8
103,"[9, 1, 4, 2, 9]",4.5,8,9,1,4,2,9
104,"[4, 10, 3, 3, 1]",0.5,0,4,10,3,3,1
105,"[10, 5, 8, 5, 9]",4.5,8,10,5,8,5,9
