name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
quezon city,2018-01-01,29,21.7,26.2,31.7,21.7,27.4,20.6,72,0,0,0,,,,,22.1,47,1010.5,67.2,8.7,182.7,15.9,7,,2018-01-01T06:20:59,2018-01-01T17:37:27,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-02,29,23,26.5,35.4,23,27.6,20.8,71.5,0.001,100,4.17,rain,,,44.6,25.7,56.8,1010,85.8,9.4,153.7,13.3,6,,2018-01-02T06:21:21,2018-01-02T17:38:01,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-03,29.9,24.2,26.6,32,24.2,27.5,20.8,71,0.001,100,4.17,rain,,,,23.9,46.3,1010.8,83.8,9.4,135,11.6,6,,2018-01-03T06:21:42,2018-01-03T17:38:36,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-04,31,23.5,27.1,34.5,23.5,28.9,22.7,77.8,0.001,100,4.17,rain,,,,23.8,61.9,1011.3,65.3,9.4,179.4,15.4,7,,2018-01-04T06:22:03,2018-01-04T17:39:11,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
quezon city,2018-01-05,32.5,23.8,28,36.7,23.8,30.6,23.7,78.8,0,0,0,,,,,21.9,54.4,1010.6,72.8,9.4,182.6,15.8,7,,2018-01-05T06:22:22,2018-01-05T17:39:46,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-06,33,25.5,28.5,35.1,25.5,31,22,68.8,0,0,0,,,,,20.3,70.2,1010.9,73.3,9.4,171.4,14.8,7,,2018-01-06T06:22:40,2018-01-06T17:40:21,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-07,32,24.3,27.3,36.8,24.3,29.5,23.4,80.2,3.729,100,4.17,rain,,,,11,14.9,1011.8,65.1,9.1,229.8,19.8,8,,2018-01-07T06:22:58,2018-01-07T17:40:56,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-08,32,23.8,27.7,37.9,23.8,30.6,24.5,83.8,16.694,100,4.17,rain,,,,18.2,49.1,1011.9,49.1,9.4,169,14.6,7,,2018-01-08T06:23:14,2018-01-08T17:41:31,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-09,32,23.8,28.2,35.9,23.8,30.6,23.4,77.4,0,0,0,,,,,18.1,53.7,1012.3,43.4,9.4,158.5,13.8,6,,2018-01-09T06:23:29,2018-01-09T17:42:07,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
quezon city,2018-01-10,31,23.4,27.6,35.5,23.4,30.1,23.6,79.8,0.005,100,4.17,rain,,,,14.6,57.1,1012.5,53.1,9.4,235.1,20.3,8,,2018-01-10T06:23:44,2018-01-10T17:42:42,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
quezon city,2018-01-11,29.6,24.7,27,31.4,24.7,28,20.3,67.5,0,0,0,,,,,12.8,41,1012.2,74.5,9.4,127.8,10.9,5,,2018-01-11T06:23:57,2018-01-11T17:43:17,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-12,29,24.2,26.3,29.9,24.2,26.7,18.4,62.7,0,0,0,,,,,25.6,63.9,1013,76.1,9.4,220.6,19.2,8,,2018-01-12T06:24:09,2018-01-12T17:43:52,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-13,30,23.2,26.3,30.8,23.2,26.6,18,60.9,0,0,0,,,,50,31.3,59.6,1013.3,64,9.4,210,18.3,8,,2018-01-13T06:24:21,2018-01-13T17:44:27,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-14,30,22,26.1,31.3,22,26.6,19.3,67.1,0,0,0,,,,,25.5,57.9,1012.7,67.8,9.4,135.9,11.8,7,,2018-01-14T06:24:31,2018-01-14T17:45:02,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-15,31,22.9,26.6,32.4,22.9,27.2,20,68.8,0,0,0,,,,,16.3,51.9,1011.1,69,9.4,205.3,17.6,8,,2018-01-15T06:24:40,2018-01-15T17:45:36,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-16,29.2,23.2,26.2,32,23.2,27,21.9,78.1,10.407,100,12.5,rain,,,,9.9,357.3,1009.5,81.5,9.2,173.7,15,7,,2018-01-16T06:24:47,2018-01-16T17:46:10,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-17,28.9,23.1,25.7,33.4,23.1,26.8,23.8,90,15.846,100,12.5,rain,,,,18.2,47,1009.3,91.8,8.6,113.2,9.7,5,,2018-01-17T06:24:54,2018-01-17T17:46:44,0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-18,31.9,23.3,27.3,37.3,23.3,30,24.1,83.6,0.002,100,4.17,rain,,,,16.5,21.8,1010.7,73.5,9.4,196.8,17.1,6,,2018-01-18T06:25:00,2018-01-18T17:47:18,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-19,30,24.4,27,32,24.4,28.1,22,76.4,0.463,100,12.5,rain,,,,18.4,63.8,1011.5,84.7,9.3,195.7,16.8,8,,2018-01-19T06:25:04,2018-01-19T17:47:52,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
quezon city,2018-01-20,32,20.4,27.2,34.1,20.4,28,21,70.9,0,0,0,,,,,16.7,58.6,1010,63.1,9.4,180,15.7,8,,2018-01-20T06:25:08,2018-01-20T17:48:25,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
quezon city,2018-01-21,31,23.5,27.1,35.4,23.5,29.1,23.3,80.6,0.002,100,4.17,rain,,,,16.5,50.2,1009.8,68.5,9.4,239.3,20.7,9,,2018-01-21T06:25:10,2018-01-21T17:48:58,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
