TIREDNESSINDEX,CURRENTACTION,PREVIOUSACTION,NEXTSCHEDULE,RESULT
0,CLASS,CLASS,CLASS,CLASS
0,CLASS,CLASS,EAT,EAT
0,CLASS,CLASS,NONE,STUDY
0,CLASS,EAT,CLASS,CLASS
0,CLASS,EAT,EAT,EAT
0,CLASS,EAT,NONE,STUDY
0,CLASS,NONE,CLASS,CLASS
0,CLASS,NONE,EAT,EAT
0,CLASS,NONE,NONE,STUDY
0,EAT,CLASS,CLASS,CLASS
0,EAT,CLASS,EAT,EAT
0,EAT,CLASS,NONE,STUDY
0,EAT,EAT,CLASS,CLASS
0,EAT,EAT,EAT,EAT
0,EAT,EAT,NONE,STUDY
0,EAT,NONE,CLASS,CLASS
0,EAT,NONE,EAT,EAT
0,EAT,NONE,NONE,STUDY
0,NONE,CLASS,CLASS,CLASS
0,NONE,CLASS,EAT,EAT
0,NONE,CLASS,NONE,STUDY
0,NONE,EAT,CLASS,CLASS
0,NONE,EAT,EAT,EAT
0,NONE,EAT,NONE,STUDY
0,NONE,NONE,CLASS,CLASS
0,NONE,NONE,EAT,EAT
0,NONE,NONE,NONE,STUDY
1,CLASS,CLASS,CLASS,CLASS
1,CLASS,CLASS,EAT,EAT
1,CLASS,CLASS,NONE,STUDY
1,CLASS,EAT,CLASS,CLASS
1,CLASS,EAT,EAT,EAT
1,CLASS,EAT,NONE,STUDY
1,CLASS,NONE,CLASS,CLASS
1,CLASS,NONE,EAT,EAT
1,CLASS,NONE,NONE,STUDY
1,EAT,CLASS,CLASS,CLASS
1,EAT,CLASS,EAT,EAT
1,EAT,CLASS,NONE,STUDY
1,EAT,EAT,CLASS,CLASS
1,EAT,EAT,EAT,EAT
1,EAT,EAT,NONE,STUDY
1,EAT,NONE,CLASS,CLASS
1,EAT,NONE,EAT,EAT
1,EAT,NONE,NONE,STUDY
1,NONE,CLASS,CLASS,CLASS
1,NONE,CLASS,EAT,EAT
1,NONE,CLASS,NONE,STUDY
1,NONE,EAT,CLASS,CLASS
1,NONE,EAT,EAT,EAT
1,NONE,EAT,NONE,STUDY
1,NONE,NONE,CLASS,CLASS
1,NONE,NONE,EAT,EAT
1,NONE,NONE,NONE,STUDY
2,CLASS,CLASS,CLASS,CLASS
2,CLASS,CLASS,EAT,EAT
2,CLASS,CLASS,NONE,STUDY
2,CLASS,EAT,CLASS,CLASS
2,CLASS,EAT,EAT,EAT
2,CLASS,EAT,NONE,STUDY
2,CLASS,NONE,CLASS,CLASS
2,CLASS,NONE,EAT,EAT
2,CLASS,NONE,NONE,STUDY
2,EAT,CLASS,CLASS,CLASS
2,EAT,CLASS,EAT,EAT
2,EAT,CLASS,NONE,STUDY
2,EAT,EAT,CLASS,CLASS
2,EAT,EAT,EAT,EAT
2,EAT,EAT,NONE,STUDY
2,EAT,NONE,CLASS,CLASS
2,EAT,NONE,EAT,EAT
2,EAT,NONE,NONE,STUDY
2,NONE,CLASS,CLASS,CLASS
2,NONE,CLASS,EAT,EAT
2,NONE,CLASS,NONE,STUDY
2,NONE,EAT,CLASS,CLASS
2,NONE,EAT,EAT,EAT
2,NONE,EAT,NONE,STUDY
2,NONE,NONE,CLASS,CLASS
2,NONE,NONE,EAT,EAT
2,NONE,NONE,NONE,STUDY
3,CLASS,CLASS,CLASS,CLASS
3,CLASS,CLASS,EAT,EAT
3,CLASS,CLASS,NONE,REST
3,CLASS,EAT,CLASS,CLASS
3,CLASS,EAT,EAT,EAT
3,CLASS,EAT,NONE,STUDY
3,CLASS,NONE,CLASS,CLASS
3,CLASS,NONE,EAT,EAT
3,CLASS,NONE,NONE,STUDY
3,EAT,CLASS,CLASS,CLASS
3,EAT,CLASS,EAT,EAT
3,EAT,CLASS,NONE,REST
3,EAT,EAT,CLASS,CLASS
3,EAT,EAT,EAT,EAT
3,EAT,EAT,NONE,STUDY
3,EAT,NONE,CLASS,CLASS
3,EAT,NONE,EAT,EAT
3,EAT,NONE,NONE,STUDY
3,NONE,CLASS,CLASS,CLASS
3,NONE,CLASS,EAT,EAT
3,NONE,CLASS,NONE,REST
3,NONE,EAT,CLASS,CLASS
3,NONE,EAT,EAT,EAT
3,NONE,EAT,NONE,STUDY
3,NONE,NONE,CLASS,CLASS
3,NONE,NONE,EAT,EAT
3,NONE,NONE,NONE,STUDY
4,CLASS,CLASS,CLASS,CLASS
4,CLASS,CLASS,EAT,EAT
4,CLASS,CLASS,NONE,REST
4,CLASS,EAT,CLASS,CLASS
4,CLASS,EAT,EAT,EAT
4,CLASS,EAT,NONE,STUDY
4,CLASS,NONE,CLASS,CLASS
4,CLASS,NONE,EAT,EAT
4,CLASS,NONE,NONE,STUDY
4,EAT,CLASS,CLASS,CLASS
4,EAT,CLASS,EAT,EAT
4,EAT,CLASS,NONE,REST
4,EAT,EAT,CLASS,CLASS
4,EAT,EAT,EAT,EAT
4,EAT,EAT,NONE,STUDY
4,EAT,NONE,CLASS,CLASS
4,EAT,NONE,EAT,EAT
4,EAT,NONE,NONE,STUDY
4,NONE,CLASS,CLASS,CLASS
4,NONE,CLASS,EAT,EAT
4,NONE,CLASS,NONE,REST
4,NONE,EAT,CLASS,CLASS
4,NONE,EAT,EAT,EAT
4,NONE,EAT,NONE,STUDY
4,NONE,NONE,CLASS,CLASS
4,NONE,NONE,EAT,EAT
4,NONE,NONE,NONE,STUDY
