name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Quezon City,01/01/2022,30,23.2,26.4,31.3,23.2,26.9,19.3,65.9,0,0,0,,0,0,35.7,22.3,82,1015.9,69.8,9.2,155.4,13.5,8,,2022-01-01T06:21:02,2022-01-01T17:37:29,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
Quezon City,02/01/2022,29,22.9,25.8,30.3,22.9,26.2,18.5,64.4,0,0,0,,0,0,36,20.5,91.7,1015.3,71.2,9.9,94.8,8.2,3,,2022-01-02T06:21:24,2022-01-02T17:38:04,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
Quezon City,03/01/2022,30,21.4,26.2,31.1,21.4,26.6,18.8,64.5,0,0,0,,0,0,,28.2,94.4,1014.5,51.4,9.9,159.2,13.8,6,,2022-01-03T06:21:45,2022-01-03T17:38:39,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
Quezon City,04/01/2022,31,22.9,26.3,33,22.9,26.7,19.4,66.9,0,0,0,,0,0,54,29.5,98.7,1014.4,61.3,9.7,156.7,13.5,7,,2022-01-04T06:22:05,2022-01-04T17:39:13,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
Quezon City,05/01/2022,30.3,23.5,26.4,31.3,23.5,27.1,20,68.5,0,0,0,,0,0,,19.6,90.5,1014.4,56,10.7,166.3,14.4,7,,2022-01-05T06:22:24,2022-01-05T17:39:48,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
Quezon City,06/01/2022,28.9,23.2,26.1,32.1,23.2,27,20.8,72.5,0,0,0,,0,0,,20.7,95.6,1013.4,82,10.1,73.7,6.4,3,,2022-01-06T06:22:43,2022-01-06T17:40:24,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,E0758,98433099999,98425099999"
Quezon City,07/01/2022,31,22.3,26.4,33.7,22.3,27.3,20,68.6,0,0,0,,0,0,,23.5,116.8,1014.1,44.3,9.9,157.3,13.6,6,,2022-01-07T06:23:00,2022-01-07T17:40:59,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,E0758,98433099999,98425099999"
Quezon City,08/01/2022,31,23.1,26.7,35.5,23.1,28.2,21.4,73.1,8.347,100,4.17,rain,0,0,252,17.6,97.6,1013.4,41.7,10.2,103,8.9,5,,2022-01-08T06:23:16,2022-01-08T17:41:34,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,E0758,98433099999,98425099999"
Quezon City,09/01/2022,32,23,27.1,35.8,23,28.8,22.4,76.1,0,0,0,,0,0,,23.8,119.4,1012.8,42.8,9.8,158.3,13.7,6,,2022-01-09T06:23:32,2022-01-09T17:42:09,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,E0758,98433099999,98425099999"
Quezon City,10/01/2022,32,22.8,27.1,35.8,22.8,28.9,22.7,77.8,0,0,0,rain,0,0,18.4,17.5,209.2,1012.5,43.3,10.1,146,12.6,6,10,2022-01-10T06:23:46,2022-01-10T17:42:44,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
